Sahip,Koşu,1.,2.,3.,4.,5.,1.%,2.%,3.%,4.%,5.%
İBRAHİM TAMER,1755.0,242.0,223.0,201.0,175.0,154.0,14.0,13.0,11.0,10.0,9.0
ÖZDEMİR ATMAN,1217.0,237.0,170.0,159.0,132.0,142.0,19.0,14.0,13.0,11.0,12.0
İLYAS ÇOKAY,1317.0,237.0,173.0,170.0,157.0,117.0,18.0,13.0,13.0,12.0,9.0
ELİF KAYA,1815.0,237.0,236.0,246.0,258.0,206.0,13.0,13.0,14.0,14.0,11.0
SELMA GÜLERCE,1209.0,235.0,184.0,148.0,139.0,110.0,19.0,15.0,12.0,11.0,9.0
TARIK AYDIN,1572.0,231.0,158.0,155.0,139.0,143.0,15.0,10.0,10.0,9.0,9.0
İRFAN BERBEROĞLU,1398.0,226.0,161.0,150.0,145.0,128.0,16.0,12.0,11.0,10.0,9.0
HAYRETTİN KARAMAZI,1158.0,220.0,160.0,154.0,132.0,117.0,19.0,14.0,13.0,11.0,10.0
HULUSİ ÇİL,1301.0,220.0,173.0,160.0,156.0,115.0,17.0,13.0,12.0,12.0,9.0
ŞABAN GÜL,1609.0,218.0,201.0,208.0,180.0,168.0,14.0,12.0,13.0,11.0,10.0
HALİL KAYA,3062.0,218.0,229.0,299.0,285.0,279.0,7.0,7.0,10.0,9.0,9.0
YILDIRIM GELGİN,1450.0,217.0,202.0,184.0,181.0,162.0,15.0,14.0,13.0,12.0,11.0
TARKAN H. ONAR,1606.0,215.0,195.0,214.0,185.0,184.0,13.0,12.0,13.0,12.0,11.0
KADRİYE KAYA,3804.0,215.0,277.0,269.0,344.0,396.0,6.0,7.0,7.0,9.0,10.0
YUSUF ATLI,1519.0,211.0,175.0,181.0,160.0,146.0,14.0,12.0,12.0,11.0,10.0
BEŞİR KAYA,3681.0,207.0,248.0,346.0,353.0,426.0,6.0,7.0,9.0,10.0,12.0
NEDİM AKAGÜNDÜZ,2010.0,204.0,204.0,222.0,207.0,181.0,10.0,10.0,11.0,10.0,9.0
SERDAR K. ÖZÇOLAK,1542.0,203.0,169.0,179.0,154.0,145.0,13.0,11.0,12.0,10.0,9.0
AHMET KAYA,2414.0,198.0,242.0,233.0,291.0,263.0,8.0,10.0,10.0,12.0,11.0
ETHEM KAYA,3156.0,198.0,222.0,266.0,300.0,312.0,6.0,7.0,8.0,10.0,10.0
M.ENGİN SEZEN,1348.0,194.0,166.0,148.0,147.0,142.0,14.0,12.0,11.0,11.0,11.0
GÜNSEN SOYUPAK,1252.0,193.0,163.0,144.0,144.0,131.0,15.0,13.0,12.0,12.0,10.0
YAŞAR GÖLBAŞ,1334.0,191.0,157.0,140.0,126.0,135.0,14.0,12.0,10.0,9.0,10.0
