Aygır,Ülke Adı,Irk Adı,Koşan Tay Adet,Kazanan Yavru Adet,Koşu,1.,2.,3.,4.,5.,1.%,2.%,3.%,4.%,5.%,Kazanç
PERFECT STORM,TÜRKİYE,İngiliz,342.0,180.0,5749.0,603.0,572.0,558.0,558.0,572.0,10.0,10.0,10.0,10.0,10.0,"51.142.985,81"
BERKOŞ,TÜRKİYE,Arap,122.0,83.0,5481.0,602.0,530.0,542.0,583.0,509.0,11.0,10.0,10.0,11.0,9.0,"28.695.075,80"
COMMON GROUNDS,İNGİLTERE,İngiliz,218.0,140.0,5498.0,583.0,531.0,501.0,523.0,458.0,11.0,10.0,9.0,10.0,8.0,"22.531.241,30"
YALAZ,TÜRKİYE,Arap,237.0,128.0,4899.0,578.0,461.0,449.0,437.0,422.0,12.0,9.0,9.0,9.0,9.0,"45.512.933,13"
OCEAN CREST,ABD,İngiliz,304.0,166.0,6879.0,578.0,607.0,645.0,637.0,625.0,8.0,9.0,9.0,9.0,9.0,"26.742.751,80"
ALBATUR,TÜRKİYE,Arap,97.0,77.0,4551.0,576.0,486.0,510.0,416.0,433.0,13.0,11.0,11.0,9.0,10.0,"20.262.224,00"
SATVET,TÜRKİYE,Arap,51.0,46.0,3414.0,571.0,485.0,454.0,376.0,403.0,17.0,14.0,13.0,11.0,12.0,",00"
LOCKTON,İNGİLTERE,İngiliz,259.0,153.0,6677.0,556.0,569.0,632.0,709.0,631.0,8.0,9.0,9.0,11.0,9.0,"14.007.292,50"
RIVER SPECIAL,ABD,İngiliz,332.0,159.0,6832.0,556.0,566.0,593.0,636.0,652.0,8.0,8.0,9.0,9.0,10.0,"23.620.222,33"
RÜZGAR.30,TÜRKİYE,Arap,85.0,75.0,5202.0,544.0,595.0,551.0,517.0,488.0,10.0,11.0,11.0,10.0,9.0,"7.008.903,00"
NATIVE KHAN,FRANSA,İngiliz,288.0,179.0,3802.0,540.0,471.0,462.0,427.0,397.0,14.0,12.0,12.0,11.0,10.0,"139.740.961,88"
UMUT.2,TÜRKİYE,Arap,95.0,71.0,5089.0,528.0,472.0,446.0,490.0,472.0,10.0,9.0,9.0,10.0,9.0,"1.454.453,50"
MUJTAHID,ABD,İngiliz,268.0,162.0,6032.0,528.0,546.0,599.0,592.0,576.0,9.0,9.0,10.0,10.0,10.0,"22.072.237,87"
HALİD,TÜRKİYE,Arap,121.0,85.0,4235.0,519.0,496.0,415.0,417.0,390.0,12.0,12.0,10.0,10.0,9.0,"36.317.943,75"
"Daha Fazla Sonuç Göster
                        
 
                        Toplam 3553 sonuçtan 50 tanesi gösteriliyor
                    
Başa Dön


                 
            


                    Yükleniyor...",,,,,,,,,,,,,,,,
