Aygır,Ülke Adı,Irk Adı,Koşan Tay Adet,Kazanan Yavru Adet,Koşu,1.,2.,3.,4.,5.,1.%,2.%,3.%,4.%,5.%,Kazanç
AKARÇAY,TÜRKİYE,Arap,60.0,22.0,635.0,54.0,43.0,57.0,54.0,45.0,9.0,7.0,9.0,9.0,7.0,"12.263.232,50"
AKKOR,TÜRKİYE,İngiliz,8.0,8.0,238.0,53.0,28.0,33.0,25.0,37.0,22.0,12.0,14.0,11.0,16.0,",00"
ALOPECIO,İNGİLTERE,İngiliz,16.0,11.0,330.0,53.0,59.0,53.0,52.0,38.0,16.0,18.0,16.0,16.0,12.0,",00"
BAY KING,İNGİLTERE,İngiliz,27.0,10.0,390.0,53.0,52.0,60.0,59.0,45.0,14.0,13.0,15.0,15.0,12.0,",00"
BİTİRİMKARINCA,TÜRKİYE,Arap,19.0,13.0,418.0,53.0,29.0,44.0,48.0,43.0,13.0,7.0,11.0,11.0,10.0,"9.715.492,50"
KOŞANAY,TÜRKİYE,Arap,16.0,8.0,474.0,53.0,35.0,31.0,54.0,41.0,11.0,7.0,7.0,11.0,9.0,"1.101.723,00"
ENDEREFE,TÜRKİYE,Arap,49.0,19.0,648.0,53.0,61.0,78.0,72.0,66.0,8.0,9.0,12.0,11.0,10.0,"21.781.393,75"
ALKURUŞ.8.,TÜRKİYE,Arap,10.0,7.0,394.0,52.0,54.0,57.0,56.0,39.0,13.0,14.0,14.0,14.0,10.0,",00"
SANANE,FRANSA,İngiliz,18.0,11.0,508.0,52.0,43.0,64.0,48.0,56.0,10.0,8.0,13.0,9.0,11.0,"39.891,50"
ERDOĞANBEY,TÜRKİYE,Arap,13.0,8.0,500.0,52.0,41.0,43.0,38.0,48.0,10.0,8.0,9.0,8.0,10.0,"1.284.301,50"
CRIMEAN TATAR,TÜRKİYE,İngiliz,46.0,21.0,528.0,52.0,56.0,77.0,66.0,60.0,10.0,11.0,15.0,12.0,11.0,"23.214.678,75"
ATLIEL,TÜRKİYE,Arap,10.0,8.0,569.0,52.0,59.0,51.0,52.0,56.0,9.0,10.0,9.0,9.0,10.0,"952.112,50"
KÖRMÜKÇÜ,TÜRKİYE,Arap,27.0,14.0,854.0,52.0,62.0,78.0,104.0,101.0,6.0,7.0,9.0,12.0,12.0,"3.584,00"
AVERY ISLAND,ABD,İngiliz,45.0,24.0,367.0,51.0,44.0,41.0,37.0,44.0,14.0,12.0,11.0,10.0,12.0,"21.543.880,00"
KUDRET.5,TÜRKİYE,Arap,14.0,7.0,396.0,51.0,18.0,22.0,21.0,27.0,13.0,5.0,6.0,5.0,7.0,"675.315,00"
HORASANLI,TÜRKİYE,Arap,25.0,14.0,446.0,51.0,50.0,51.0,35.0,30.0,11.0,11.0,11.0,8.0,7.0,"3.962.948,75"
AL'S THEATRE,ABD,İngiliz,43.0,16.0,581.0,51.0,68.0,41.0,55.0,61.0,9.0,12.0,7.0,9.0,10.0,"2.798.775,00"
İBOHAN,TÜRKİYE,Arap,37.0,17.0,626.0,51.0,48.0,51.0,44.0,43.0,8.0,8.0,8.0,7.0,7.0,"2.442.482,50"
HACIBEY.1,TÜRKİYE,Arap,38.0,18.0,758.0,51.0,59.0,51.0,50.0,60.0,7.0,8.0,7.0,7.0,8.0,"1.630.090,00"
SELÇUKLU,TÜRKİYE,Arap,5.0,3.0,140.0,50.0,25.0,15.0,12.0,4.0,36.0,18.0,11.0,9.0,3.0,"1.253.840,00"
NURCİVAN,TÜRKİYE,İngiliz,11.0,9.0,290.0,50.0,51.0,35.0,34.0,34.0,17.0,18.0,12.0,12.0,12.0,",00"
GÜRSU,TÜRKİYE,Arap,40.0,25.0,354.0,50.0,46.0,44.0,30.0,35.0,14.0,13.0,12.0,8.0,10.0,"27.045.697,50"
KNIGHT LINE DANCER,İRLANDA,İngiliz,15.0,10.0,387.0,50.0,36.0,34.0,45.0,38.0,13.0,9.0,9.0,12.0,10.0,"1.333.829,09"
BAYDAR,TÜRKİYE,Arap,22.0,11.0,390.0,50.0,45.0,39.0,40.0,32.0,13.0,12.0,10.0,10.0,8.0,"2.568.650,00"
YILMABAŞAR,TÜRKİYE,Arap,40.0,24.0,381.0,50.0,41.0,41.0,36.0,41.0,13.0,11.0,11.0,9.0,11.0,"27.529.660,00"
AMERİKALI,TÜRKİYE,İngiliz,25.0,14.0,400.0,50.0,55.0,47.0,58.0,36.0,12.0,14.0,12.0,14.0,9.0,"12.118.660,00"
AŞKAR.1,TÜRKİYE,Arap,11.0,8.0,503.0,50.0,59.0,51.0,42.0,57.0,10.0,12.0,10.0,8.0,11.0,"1.901.200,00"
DOLPHIN STREET,FRANSA,İngiliz,14.0,13.0,586.0,50.0,55.0,65.0,52.0,63.0,9.0,9.0,11.0,9.0,11.0,"1.515.800,10"
HİLALÜZZAMAN.15,TÜRKİYE,Arap,15.0,12.0,619.0,50.0,81.0,75.0,85.0,71.0,8.0,13.0,12.0,14.0,11.0,",00"
COLUMNIST,İNGİLTERE,İngiliz,35.0,13.0,610.0,50.0,49.0,60.0,66.0,62.0,8.0,8.0,10.0,11.0,10.0,"5.642,50"
ANATOLY,TÜRKİYE,İngiliz,36.0,17.0,646.0,50.0,53.0,66.0,60.0,78.0,8.0,8.0,10.0,9.0,12.0,"4.583.847,50"
DEVİREN,TÜRKİYE,Arap,34.0,16.0,684.0,50.0,69.0,85.0,56.0,70.0,7.0,10.0,12.0,8.0,10.0,"3.032.110,00"
ABJAR ACADEMY,TÜRKİYE,İngiliz,27.0,14.0,404.0,49.0,55.0,46.0,58.0,45.0,12.0,14.0,11.0,14.0,11.0,"14.405.256,25"
SÜMEN,TÜRKİYE,İngiliz,38.0,16.0,546.0,49.0,50.0,57.0,51.0,50.0,9.0,9.0,10.0,9.0,9.0,"2.125.530,00"
MUZAFFER ÇAVUŞ,TÜRKİYE,Arap,23.0,16.0,627.0,49.0,59.0,35.0,47.0,57.0,8.0,9.0,6.0,7.0,9.0,"1.363.495,00"
BOZYİĞİT,TÜRKİYE,Arap,49.0,19.0,603.0,49.0,41.0,44.0,48.0,43.0,8.0,7.0,7.0,8.0,7.0,"6.443.211,25"
TRIPLE BONUS,TÜRKİYE,İngiliz,32.0,17.0,590.0,49.0,79.0,66.0,65.0,75.0,8.0,13.0,11.0,11.0,13.0,"11.702.390,00"
BORS,TÜRKİYE,İngiliz,33.0,19.0,756.0,49.0,81.0,83.0,95.0,89.0,6.0,11.0,11.0,13.0,12.0,"3.098.995,00"
HİLALÜZZAMAN.12,TÜRKİYE,Arap,9.0,4.0,327.0,48.0,50.0,55.0,37.0,40.0,15.0,15.0,17.0,11.0,12.0,",00"
KAMAN,TÜRKİYE,Arap,31.0,17.0,523.0,48.0,55.0,53.0,61.0,51.0,9.0,11.0,10.0,12.0,10.0,"9.938.688,75"
MY GRANDSON,İNGİLTERE,İngiliz,36.0,12.0,606.0,48.0,52.0,53.0,70.0,78.0,8.0,9.0,9.0,12.0,13.0,"2.711.000,00"
ŞINKART,TÜRKİYE,Arap,16.0,7.0,619.0,48.0,53.0,58.0,66.0,72.0,8.0,9.0,9.0,11.0,12.0,"1.948.685,00"
HARPUTLU GAGGOŞ,TÜRKİYE,İngiliz,23.0,15.0,581.0,48.0,77.0,61.0,59.0,69.0,8.0,13.0,10.0,10.0,12.0,"4.220.728,75"
KIVANÇ CAN,TÜRKİYE,Arap,21.0,10.0,347.0,47.0,34.0,36.0,39.0,31.0,14.0,10.0,10.0,11.0,9.0,"4.963.345,00"
BABY TURK,İRLANDA,İngiliz,11.0,11.0,373.0,47.0,45.0,41.0,40.0,38.0,13.0,12.0,11.0,11.0,10.0,"198.492,00"
"Daha Fazla Sonuç Göster
                        
 
                        Toplam 3553 sonuçtan 600 tanesi gösteriliyor
                    
Başa Dön


                 
            


                    Yükleniyor...",,,,,,,,,,,,,,,,
VOLGABEY,TÜRKİYE,Arap,17.0,10.0,355.0,47.0,58.0,39.0,40.0,34.0,13.0,16.0,11.0,11.0,10.0,"3.034.747,50"
BAŞPİLOT,TÜRKİYE,İngiliz,20.0,12.0,440.0,47.0,62.0,36.0,38.0,32.0,11.0,14.0,8.0,9.0,7.0,"1.978.950,00"
DOKTOR SEFEROF,İNGİLTERE,İngiliz,18.0,11.0,471.0,47.0,41.0,39.0,54.0,49.0,10.0,9.0,8.0,11.0,10.0,"1.750,00"
ULTRAMAR,TÜRKİYE,İngiliz,26.0,17.0,464.0,47.0,51.0,58.0,55.0,37.0,10.0,11.0,12.0,12.0,8.0,"2.886.900,00"
PIANO SONATA,TÜRKİYE,İngiliz,37.0,17.0,461.0,47.0,77.0,46.0,58.0,47.0,10.0,17.0,10.0,13.0,10.0,"24.303.863,75"
AKASYA.4,TÜRKİYE,Arap,15.0,9.0,518.0,47.0,34.0,45.0,35.0,45.0,9.0,7.0,9.0,7.0,9.0,"260.650,00"
INDIAN DAYS,İNGİLTERE,İngiliz,50.0,18.0,751.0,47.0,64.0,71.0,63.0,91.0,6.0,9.0,9.0,8.0,12.0,"3.218.967,50"
SEKLAVİ.44/64,TÜRKİYE,Arap,5.0,3.0,143.0,46.0,24.0,11.0,12.0,12.0,32.0,17.0,8.0,8.0,8.0,",00"
HAMAS,İRLANDA,İngiliz,5.0,5.0,200.0,46.0,21.0,17.0,20.0,14.0,23.0,10.0,8.0,10.0,7.0,"2.025.263,88"
CLODOVIL,İRLANDA,İngiliz,9.0,6.0,237.0,46.0,28.0,31.0,29.0,26.0,19.0,12.0,13.0,12.0,11.0,"3.894.262,50"
DOWN THE FLAG,ABD,İngiliz,12.0,10.0,373.0,46.0,36.0,48.0,57.0,26.0,12.0,10.0,13.0,15.0,7.0,"1.039.966,50"
DİLİRAN,TÜRKİYE,Arap,49.0,34.0,427.0,46.0,43.0,41.0,39.0,43.0,11.0,10.0,10.0,9.0,10.0,"24.540.617,50"
KAVRANHAN,TÜRKİYE,İngiliz,29.0,15.0,474.0,46.0,33.0,50.0,38.0,57.0,10.0,7.0,11.0,8.0,12.0,"1.475.030,00"
KIRDEMİRKIR,TÜRKİYE,İngiliz,29.0,15.0,487.0,46.0,43.0,50.0,52.0,60.0,9.0,9.0,10.0,11.0,12.0,"17.152.641,25"
YAVUZKAYA,TÜRKİYE,İngiliz,23.0,15.0,599.0,46.0,58.0,63.0,72.0,70.0,8.0,10.0,11.0,12.0,12.0,"7.312.387,50"
ASTRAKHAN,TÜRKİYE,İngiliz,35.0,15.0,569.0,46.0,49.0,57.0,71.0,74.0,8.0,9.0,10.0,12.0,13.0,"8.191.042,50"
KÖKMENHAN,TÜRKİYE,Arap,29.0,16.0,693.0,46.0,54.0,53.0,70.0,57.0,7.0,8.0,8.0,10.0,8.0,"1.860.690,00"
RED ROUTE,İNGİLTERE,İngiliz,38.0,19.0,900.0,46.0,49.0,64.0,76.0,84.0,5.0,5.0,7.0,8.0,9.0,"1.414.259,40"
BUĞRA,TÜRKİYE,İngiliz,9.0,9.0,305.0,45.0,44.0,45.0,44.0,39.0,15.0,14.0,15.0,14.0,13.0,",00"
BIGSTONE,İRLANDA,İngiliz,7.0,7.0,324.0,45.0,43.0,33.0,28.0,29.0,14.0,13.0,10.0,9.0,9.0,"1.293.801,25"
KARATOKLU,TÜRKİYE,Arap,16.0,9.0,371.0,45.0,33.0,32.0,26.0,36.0,12.0,9.0,9.0,7.0,10.0,"2.291.442,50"
AKÇAY,TÜRKİYE,Arap,8.0,6.0,384.0,45.0,49.0,49.0,46.0,44.0,12.0,13.0,13.0,12.0,11.0,",00"
İNFİSAH,TÜRKİYE,İngiliz,14.0,9.0,438.0,45.0,45.0,52.0,45.0,37.0,10.0,10.0,12.0,10.0,8.0,"1.455.025,00"
ASAKIR,İNGİLTERE,İngiliz,50.0,21.0,513.0,45.0,33.0,49.0,45.0,37.0,9.0,6.0,10.0,9.0,7.0,"1.640.060,00"
KURUŞAĞA,TÜRKİYE,Arap,17.0,13.0,502.0,45.0,47.0,37.0,60.0,62.0,9.0,9.0,7.0,12.0,12.0,"8.895.741,25"
BAYHAN,TÜRKİYE,Arap,36.0,17.0,491.0,45.0,43.0,45.0,43.0,40.0,9.0,9.0,9.0,9.0,8.0,"12.517.505,00"
TÜTEN,TÜRKİYE,İngiliz,27.0,14.0,585.0,45.0,48.0,55.0,38.0,48.0,8.0,8.0,9.0,6.0,8.0,"329.030,30"
FASHT ELDEBL,İNGİLTERE,İngiliz,35.0,12.0,753.0,45.0,50.0,51.0,41.0,65.0,6.0,7.0,7.0,5.0,9.0,"1.364.331,60"
HİSARBEY,TÜRKİYE,Arap,47.0,21.0,861.0,45.0,83.0,60.0,83.0,96.0,5.0,10.0,7.0,10.0,11.0,"13.980.350,00"
ORATORIO,İRLANDA,İngiliz,12.0,10.0,220.0,44.0,28.0,30.0,25.0,23.0,20.0,13.0,14.0,11.0,10.0,"3.372.078,49"
PLAY BOY I,TÜRKİYE,İngiliz,9.0,9.0,251.0,44.0,29.0,23.0,21.0,23.0,18.0,12.0,9.0,8.0,9.0,"829.821,00"
ORPEN,ABD,İngiliz,20.0,12.0,245.0,44.0,32.0,22.0,14.0,24.0,18.0,13.0,9.0,6.0,10.0,"2.799.524,40"
FOOTSTEPSINTHESAND,İNGİLTERE,İngiliz,15.0,11.0,294.0,44.0,39.0,34.0,33.0,24.0,15.0,13.0,12.0,11.0,8.0,"3.387.435,32"
LASTKING,TÜRKİYE,İngiliz,16.0,10.0,353.0,44.0,29.0,42.0,35.0,29.0,12.0,8.0,12.0,10.0,8.0,",00"
KING'S PLEASURE,TÜRKİYE,İngiliz,22.0,12.0,439.0,44.0,39.0,63.0,53.0,44.0,10.0,9.0,14.0,12.0,10.0,"2.913.976,25"
AĞAKILIÇ,TÜRKİYE,Arap,20.0,12.0,507.0,44.0,36.0,52.0,53.0,55.0,9.0,7.0,10.0,10.0,11.0,"1.624.090,00"
YİĞİT,TÜRKİYE,Arap,19.0,14.0,473.0,44.0,56.0,48.0,53.0,49.0,9.0,12.0,10.0,11.0,10.0,"3.250.427,50"
ÜÇAS,TÜRKİYE,Arap,20.0,12.0,738.0,44.0,53.0,58.0,63.0,66.0,6.0,7.0,8.0,9.0,9.0,"741,00"
HANBEY,TÜRKİYE,Arap,7.0,3.0,270.0,43.0,29.0,27.0,21.0,23.0,16.0,11.0,10.0,8.0,9.0,"1.395.020,00"
PIVOTAL,İNGİLTERE,İngiliz,15.0,8.0,289.0,43.0,45.0,31.0,42.0,21.0,15.0,16.0,11.0,15.0,7.0,"2.819.098,30"
CANBERKTAY,TÜRKİYE,Arap,13.0,11.0,284.0,43.0,43.0,29.0,31.0,27.0,15.0,15.0,10.0,11.0,10.0,"16.331.217,50"
INTENSE FOCUS,ABD,İngiliz,7.0,5.0,304.0,43.0,46.0,35.0,42.0,29.0,14.0,15.0,12.0,14.0,10.0,"2.954.140,33"
DOST KARACA,TÜRKİYE,Arap,25.0,16.0,411.0,43.0,38.0,34.0,41.0,32.0,10.0,9.0,8.0,10.0,8.0,"1.682.147,50"
GÜRHAN I,TÜRKİYE,İngiliz,7.0,7.0,497.0,43.0,63.0,40.0,47.0,49.0,9.0,13.0,8.0,9.0,10.0,"855.435,60"
MEHMET BORA,TÜRKİYE,İngiliz,49.0,12.0,456.0,43.0,38.0,35.0,43.0,46.0,9.0,8.0,8.0,9.0,10.0,"7.802.137,15"
GOLDAT,İNGİLTERE,İngiliz,18.0,8.0,559.0,43.0,66.0,59.0,80.0,67.0,8.0,12.0,11.0,14.0,12.0,"3.234.931,25"
ZİGANA,TÜRKİYE,Arap,34.0,18.0,710.0,43.0,66.0,49.0,74.0,78.0,6.0,9.0,7.0,10.0,11.0,"4.513.762,50"
SHARP HUMOR,ABD,İngiliz,4.0,4.0,132.0,42.0,26.0,21.0,10.0,12.0,32.0,20.0,16.0,8.0,9.0,"4.679.215,85"
KALAGLOW,İRLANDA,İngiliz,6.0,6.0,174.0,42.0,28.0,21.0,13.0,16.0,24.0,16.0,12.0,7.0,9.0,"31.031,00"
MUMMY'S GAME,İNGİLTERE,İngiliz,8.0,6.0,192.0,42.0,26.0,17.0,14.0,18.0,22.0,14.0,9.0,7.0,9.0,",00"
"Daha Fazla Sonuç Göster
                        
 
                        Toplam 3553 sonuçtan 650 tanesi gösteriliyor
                    
Başa Dön


                 
            


                    Yükleniyor...",,,,,,,,,,,,,,,,
CAPE CROSS,İRLANDA,İngiliz,17.0,12.0,201.0,42.0,38.0,18.0,16.0,13.0,21.0,19.0,9.0,8.0,6.0,"5.663.578,45"
MARADIT,İRLANDA,İngiliz,18.0,15.0,324.0,42.0,38.0,25.0,27.0,26.0,13.0,12.0,8.0,8.0,8.0,"85.670,00"
EMBİR HAN,TÜRKİYE,Arap,28.0,19.0,335.0,42.0,28.0,32.0,30.0,37.0,13.0,8.0,10.0,9.0,11.0,"17.454.311,25"
BABOŞ,TÜRKİYE,Arap,11.0,5.0,364.0,42.0,40.0,41.0,33.0,39.0,12.0,11.0,11.0,9.0,11.0,",00"
DANEHILL DANCER,İRLANDA,İngiliz,21.0,12.0,379.0,42.0,39.0,38.0,44.0,28.0,11.0,10.0,10.0,12.0,7.0,"1.938.218,00"
YOUNG PRINCE,TÜRKİYE,İngiliz,36.0,11.0,549.0,42.0,38.0,38.0,50.0,52.0,8.0,7.0,7.0,9.0,9.0,"804.853,00"
VAN DAMME,İRLANDA,İngiliz,26.0,14.0,623.0,42.0,57.0,70.0,67.0,66.0,7.0,9.0,11.0,11.0,11.0,"1.742.140,00"
TURAÇ,İRLANDA,İngiliz,35.0,13.0,628.0,42.0,62.0,58.0,60.0,48.0,7.0,10.0,9.0,10.0,8.0,"2.050.250,00"
NECDETHAN,TÜRKİYE,Arap,27.0,14.0,646.0,42.0,48.0,59.0,62.0,55.0,7.0,7.0,9.0,10.0,9.0,"1.474.505,00"
LEAR WHITE,ABD,İngiliz,40.0,19.0,710.0,42.0,50.0,61.0,47.0,55.0,6.0,7.0,9.0,7.0,8.0,"1.981.270,00"
SEFACAN,TÜRKİYE,Arap,4.0,4.0,190.0,41.0,16.0,14.0,23.0,19.0,22.0,8.0,7.0,12.0,10.0,"1.048.465,00"
EDENROCK,TÜRKİYE,İngiliz,7.0,4.0,244.0,41.0,30.0,32.0,37.0,29.0,17.0,12.0,13.0,15.0,12.0,",00"
PRIMO DOMINIE,İNGİLTERE,İngiliz,8.0,6.0,292.0,41.0,29.0,20.0,35.0,24.0,14.0,10.0,7.0,12.0,8.0,"1.231.065,00"
BORA BORA,TÜRKİYE,İngiliz,16.0,8.0,321.0,41.0,21.0,30.0,40.0,34.0,13.0,7.0,9.0,12.0,11.0,",00"
AKÇAKOCA,TÜRKİYE,Arap,9.0,6.0,413.0,41.0,37.0,23.0,54.0,41.0,10.0,9.0,6.0,13.0,10.0,"3.186,00"
BABATUAL,TÜRKİYE,Arap,14.0,8.0,421.0,41.0,33.0,41.0,36.0,37.0,10.0,8.0,10.0,9.0,9.0,"1.054.490,00"
HEMSWORTH,ABD,İngiliz,28.0,14.0,429.0,41.0,40.0,43.0,61.0,49.0,10.0,9.0,10.0,14.0,11.0,"12.069.077,50"
BERKCAN,TÜRKİYE,Arap,38.0,20.0,564.0,41.0,45.0,49.0,75.0,56.0,7.0,8.0,9.0,13.0,10.0,"11.772.998,75"
HERNANDO,FRANSA,İngiliz,10.0,7.0,316.0,40.0,46.0,35.0,39.0,37.0,13.0,15.0,11.0,12.0,12.0,"2.276.457,55"
TUNÇSTAR,TÜRKİYE,Arap,30.0,14.0,494.0,40.0,35.0,23.0,41.0,42.0,8.0,7.0,5.0,8.0,9.0,"1.229.511,25"
CHAMPS TO CHAMPS,TÜRKİYE,İngiliz,43.0,18.0,611.0,40.0,56.0,44.0,59.0,57.0,7.0,9.0,7.0,10.0,9.0,"2.539.586,25"
KÖROĞLU.4,TÜRKİYE,Arap,33.0,9.0,755.0,40.0,47.0,61.0,87.0,93.0,5.0,6.0,8.0,12.0,12.0,"50.856,00"
TENBY,İNGİLTERE,İngiliz,4.0,4.0,292.0,39.0,39.0,37.0,50.0,26.0,13.0,13.0,13.0,17.0,9.0,"1.103.435,00"
ENGLISH CHANNEL,ABD,İngiliz,16.0,9.0,307.0,39.0,56.0,40.0,33.0,31.0,13.0,18.0,13.0,11.0,10.0,"13.848.096,80"
GREY-WOLF,TÜRKİYE,İngiliz,11.0,7.0,293.0,39.0,49.0,52.0,50.0,43.0,13.0,17.0,18.0,17.0,15.0,",00"
DISTINCTLY NORTH,ABD,İngiliz,12.0,11.0,354.0,39.0,48.0,35.0,36.0,41.0,11.0,14.0,10.0,10.0,12.0,"1.159.068,75"
ALLENHEADS,İNGİLTERE,İngiliz,15.0,14.0,383.0,39.0,70.0,59.0,64.0,38.0,10.0,18.0,15.0,17.0,10.0,",00"
BANKOCU,TÜRKİYE,İngiliz,19.0,10.0,419.0,39.0,38.0,25.0,37.0,41.0,9.0,9.0,6.0,9.0,10.0,"812.270,00"
FLYING BOY,İRLANDA,İngiliz,24.0,8.0,423.0,39.0,61.0,46.0,40.0,45.0,9.0,14.0,11.0,9.0,11.0,"2.442.640,00"
WOODCHAT,ABD,İngiliz,27.0,12.0,483.0,39.0,44.0,38.0,46.0,43.0,8.0,9.0,8.0,10.0,9.0,"873.730,00"
TURGUT REİS,TÜRKİYE,Arap,40.0,14.0,601.0,39.0,42.0,40.0,47.0,43.0,6.0,7.0,7.0,8.0,7.0,"1.402.470,00"
SCENIC,İRLANDA,İngiliz,5.0,4.0,213.0,38.0,32.0,21.0,19.0,14.0,18.0,15.0,10.0,9.0,7.0,"1.043.205,00"
IDRIS,İRLANDA,İngiliz,5.0,4.0,218.0,38.0,34.0,22.0,22.0,26.0,17.0,16.0,10.0,10.0,12.0,"1.644.300,00"
ANİBAL.1,TÜRKİYE,Arap,6.0,6.0,267.0,38.0,30.0,36.0,30.0,25.0,14.0,11.0,13.0,11.0,9.0,",00"
GRAND LODGE,ABD,İngiliz,13.0,9.0,326.0,38.0,32.0,33.0,36.0,36.0,12.0,10.0,10.0,11.0,11.0,"1.306.452,50"
TIROL,İRLANDA,İngiliz,5.0,5.0,308.0,38.0,35.0,41.0,28.0,42.0,12.0,11.0,13.0,9.0,14.0,"480.472,50"
KEY PRADO,ABD,İngiliz,15.0,10.0,415.0,38.0,37.0,45.0,47.0,58.0,9.0,9.0,11.0,11.0,14.0,"1.854.320,00"
EUPRHATES,ABD,İngiliz,37.0,19.0,472.0,38.0,61.0,72.0,54.0,61.0,8.0,13.0,15.0,11.0,13.0,"18.873.616,25"
SEKLAVİ.39,TÜRKİYE,Arap,24.0,12.0,592.0,38.0,44.0,60.0,58.0,57.0,6.0,7.0,10.0,10.0,10.0,"1.545.150,00"
PRECOCIOUS,İNGİLTERE,İngiliz,3.0,3.0,164.0,37.0,25.0,31.0,22.0,14.0,23.0,15.0,19.0,13.0,9.0,"212.845,00"
PETONG,İNGİLTERE,İngiliz,9.0,8.0,288.0,37.0,32.0,29.0,32.0,32.0,13.0,11.0,10.0,11.0,11.0,"665.298,50"
LAST COMMANDER,ABD,İngiliz,16.0,12.0,577.0,37.0,58.0,56.0,55.0,75.0,6.0,10.0,10.0,10.0,13.0,"1.828.240,00"
YÜREKKAYA,TÜRKİYE,Arap,43.0,20.0,577.0,37.0,54.0,50.0,50.0,64.0,6.0,9.0,9.0,9.0,11.0,"16.595.643,75"
TULPAR,TÜRKİYE,Arap,21.0,11.0,854.0,37.0,52.0,69.0,66.0,77.0,4.0,6.0,8.0,8.0,9.0,"4.690,00"
YOUMZAIN,İRLANDA,İngiliz,6.0,5.0,185.0,36.0,31.0,16.0,20.0,21.0,19.0,17.0,9.0,11.0,11.0,"6.235.692,50"
KLUGER,JAPONYA,İngiliz,33.0,16.0,221.0,36.0,18.0,36.0,21.0,26.0,16.0,8.0,16.0,10.0,12.0,"18.594.826,25"
MUKADDAMAH,ABD,İngiliz,12.0,8.0,280.0,36.0,34.0,36.0,35.0,32.0,13.0,12.0,13.0,12.0,11.0,"1.013.833,75"
ROCK OF GIBRALTAR,İRLANDA,İngiliz,12.0,5.0,274.0,36.0,33.0,25.0,30.0,34.0,13.0,12.0,9.0,11.0,12.0,"2.496.380,02"
SA'D.1.,TÜRKİYE,Arap,10.0,6.0,297.0,36.0,31.0,38.0,28.0,20.0,12.0,10.0,13.0,9.0,7.0,",00"
MY BOLT,TÜRKİYE,İngiliz,20.0,11.0,313.0,36.0,27.0,30.0,46.0,35.0,12.0,9.0,10.0,15.0,11.0,"1.684.520,00"
"Daha Fazla Sonuç Göster
                        
 
                        Toplam 3553 sonuçtan 700 tanesi gösteriliyor
                    
Başa Dön


                 
            


                    Yükleniyor...",,,,,,,,,,,,,,,,
COMMONER,TÜRKİYE,İngiliz,28.0,12.0,470.0,36.0,38.0,48.0,48.0,41.0,8.0,8.0,10.0,10.0,9.0,"1.723.300,00"
SHEER HONOR,TÜRKİYE,İngiliz,21.0,7.0,502.0,36.0,42.0,56.0,55.0,50.0,7.0,8.0,11.0,11.0,10.0,"1.715.905,00"
YURDABAK,TÜRKİYE,Arap,30.0,13.0,533.0,36.0,49.0,41.0,58.0,55.0,7.0,9.0,8.0,11.0,10.0,"1.745.400,00"
MOST WELCOME,İNGİLTERE,İngiliz,8.0,7.0,168.0,35.0,19.0,23.0,15.0,9.0,21.0,11.0,14.0,9.0,5.0,"954.140,00"
HALLING,ABD,İngiliz,8.0,4.0,177.0,35.0,32.0,18.0,21.0,18.0,20.0,18.0,10.0,12.0,10.0,"3.117.336,40"
HIGHEST HONOR,FRANSA,İngiliz,12.0,7.0,201.0,35.0,18.0,18.0,25.0,14.0,17.0,9.0,9.0,12.0,7.0,"1.139.552,00"
DEFINITE ARTICLE,İNGİLTERE,İngiliz,11.0,7.0,284.0,35.0,41.0,28.0,20.0,24.0,12.0,14.0,10.0,7.0,8.0,"1.483.410,00"
LANGFUHR,ABD,İngiliz,7.0,7.0,301.0,35.0,44.0,31.0,34.0,28.0,12.0,15.0,10.0,11.0,9.0,"2.008.489,50"
FAROAGA,TÜRKİYE,Arap,25.0,13.0,284.0,35.0,26.0,32.0,27.0,34.0,12.0,9.0,11.0,10.0,12.0,"1.260.370,00"
TURTLE ISLAND,İRLANDA,İngiliz,15.0,10.0,356.0,35.0,34.0,44.0,40.0,24.0,10.0,10.0,12.0,11.0,7.0,"1.228.974,50"
UĞURCAN,TÜRKİYE,Arap,15.0,8.0,366.0,35.0,32.0,39.0,34.0,41.0,10.0,9.0,11.0,9.0,11.0,"1.103.290,00"
IRISH SHUTTLE,İRLANDA,İngiliz,21.0,12.0,369.0,35.0,36.0,37.0,39.0,40.0,9.0,10.0,10.0,11.0,11.0,"1.412.260,00"
KURUŞ.11/65,TÜRKİYE,Arap,6.0,6.0,383.0,35.0,42.0,55.0,53.0,51.0,9.0,11.0,14.0,14.0,13.0,",00"
ACCELERATOR,ABD,İngiliz,27.0,11.0,462.0,35.0,53.0,34.0,37.0,53.0,8.0,11.0,7.0,8.0,11.0,"1.194.750,00"
LION CAVERN,ABD,İngiliz,5.0,4.0,143.0,34.0,24.0,21.0,15.0,13.0,24.0,17.0,15.0,10.0,9.0,"1.101.895,00"
SLIP ANCHOR,İNGİLTERE,İngiliz,7.0,6.0,209.0,34.0,30.0,27.0,26.0,22.0,16.0,14.0,13.0,12.0,11.0,"1.297.777,50"
SOVIET STAR,ABD,İngiliz,15.0,9.0,243.0,34.0,34.0,27.0,22.0,18.0,14.0,14.0,11.0,9.0,7.0,"3.899.547,50"
CATAPULT,ABD,İngiliz,22.0,14.0,238.0,34.0,37.0,25.0,43.0,23.0,14.0,16.0,11.0,18.0,10.0,"19.821.492,50"
