Antrenör,Koşu,1.,2.,3.,4.,5.,1.%,2.%,3.%,4.%,5.%,Antrenor Kısaltması
NİHAT KAYA,3609.0,345.0,345.0,385.0,355.0,379.0,10.0,10.0,11.0,10.0,11.0,N.KAYA
RAMAZAN COŞKUN,4270.0,345.0,372.0,417.0,410.0,446.0,8.0,9.0,10.0,10.0,10.0,R.COŞKUN
FERDİ GEYİK,3199.0,337.0,280.0,294.0,322.0,315.0,11.0,9.0,9.0,10.0,10.0,F.GEYİK
MEHMET GÜNEŞ,3662.0,337.0,314.0,349.0,359.0,336.0,9.0,9.0,10.0,10.0,9.0,M.GÜNEŞ
MELİH MEHMET İNAL,3504.0,335.0,360.0,318.0,330.0,346.0,10.0,10.0,9.0,9.0,10.0,M.M.İNAL
AYKUT ECEVİT BAŞ,3616.0,335.0,348.0,378.0,375.0,402.0,9.0,10.0,10.0,10.0,11.0,A.E.BAŞ
VEDAT ÖNDER,3475.0,334.0,347.0,355.0,348.0,350.0,10.0,10.0,10.0,10.0,10.0,V.ÖNDER
TAHİR KURT,2880.0,331.0,311.0,342.0,299.0,290.0,11.0,11.0,12.0,10.0,10.0,T.KURT
EKREM ŞENGEL,2196.0,330.0,302.0,288.0,252.0,204.0,15.0,14.0,13.0,11.0,9.0,E.ŞENGEL
ERHAN DIBLEN,2646.0,330.0,243.0,260.0,254.0,267.0,12.0,9.0,10.0,10.0,10.0,E.DIBLEN
KEMAL DEMİR,2329.0,324.0,306.0,242.0,261.0,210.0,14.0,13.0,10.0,11.0,9.0,K.DEMİR
EMİN KARATAŞ,2393.0,324.0,286.0,280.0,252.0,260.0,14.0,12.0,12.0,11.0,11.0,E.KARATAŞ
MEHMET ÖCAL,3733.0,323.0,318.0,363.0,332.0,349.0,9.0,9.0,10.0,9.0,9.0,M.ÖCAL
MAHMUT ZELYURT,2797.0,322.0,303.0,271.0,280.0,290.0,12.0,11.0,10.0,10.0,10.0,M.ZELYURT
FEHMİ DEMİR,3869.0,320.0,377.0,373.0,358.0,367.0,8.0,10.0,10.0,9.0,9.0,F.DEMİR
KENAN KAYALIK,3554.0,319.0,360.0,341.0,347.0,335.0,9.0,10.0,10.0,10.0,9.0,K.KAYALIK
GÖKHAN BALTA,3662.0,315.0,302.0,330.0,308.0,307.0,9.0,8.0,9.0,8.0,8.0,G.BALTA
SELÇUK TAŞBEK,2309.0,312.0,289.0,267.0,272.0,264.0,14.0,13.0,12.0,12.0,11.0,S.TAŞBEK
ASIM DUTAL,2653.0,311.0,282.0,256.0,281.0,242.0,12.0,11.0,10.0,11.0,9.0,A.DUTAL
ŞAKİR ÇELİK,2709.0,308.0,317.0,277.0,280.0,279.0,11.0,12.0,10.0,10.0,10.0,Ş.ÇELİK
MUZAFFER KILIÇSEREN,2989.0,308.0,286.0,317.0,279.0,293.0,10.0,10.0,11.0,9.0,10.0,M.KILIÇSEREN
YÜKSEL TALUK,3257.0,307.0,318.0,315.0,313.0,316.0,9.0,10.0,10.0,10.0,10.0,Y.TALUK
YASİN DEMİRKIRAN,2345.0,306.0,308.0,300.0,243.0,247.0,13.0,13.0,13.0,10.0,11.0,Y.DEMİRKIRAN
YUNUS İŞGÜZAR,3158.0,302.0,299.0,293.0,316.0,320.0,10.0,9.0,9.0,10.0,10.0,Y.İŞGÜZAR
MEHMET YÜCEDAĞ,4061.0,302.0,349.0,384.0,371.0,355.0,7.0,9.0,9.0,9.0,9.0,M.YÜCEDAĞ
VELİ ÇİZİK,3616.0,298.0,310.0,337.0,336.0,324.0,8.0,9.0,9.0,9.0,9.0,V.ÇİZİK
ŞEFİK ÖZDENİZ,2960.0,297.0,312.0,314.0,309.0,294.0,10.0,11.0,11.0,10.0,10.0,Ş.ÖZDENİZ
YAŞAR ARSLANCA,2841.0,296.0,287.0,300.0,303.0,289.0,10.0,10.0,11.0,11.0,10.0,Y.ARSLANCA
MUHARREM CAN,2358.0,295.0,264.0,222.0,229.0,198.0,13.0,11.0,9.0,10.0,8.0,M.CAN
SABAHATTİN KONUK,4076.0,295.0,307.0,316.0,334.0,347.0,7.0,8.0,8.0,8.0,9.0,S.KONUK
MUTULLAH KAYA,2461.0,293.0,315.0,252.0,262.0,233.0,12.0,13.0,10.0,11.0,9.0,M.KAYA
YAVUZ AKDAŞ,3754.0,293.0,326.0,370.0,377.0,349.0,8.0,9.0,10.0,10.0,9.0,Y.AKDAŞ
CENGİZ AYDOĞAN,2908.0,282.0,296.0,300.0,266.0,252.0,10.0,10.0,10.0,9.0,9.0,C.AYDOĞAN
ÖMER ALAÇAM,2132.0,281.0,266.0,237.0,233.0,255.0,13.0,12.0,11.0,11.0,12.0,Ö.ALAÇAM
ABDULHAMİT YARDIMCI,3953.0,281.0,295.0,309.0,357.0,352.0,7.0,7.0,8.0,9.0,9.0,A.YARDIMCI
NİHAT YILDIRIM,2871.0,280.0,285.0,249.0,232.0,280.0,10.0,10.0,9.0,8.0,10.0,N.YILDIRIM
KASIM DEMİR,3096.0,278.0,279.0,288.0,286.0,276.0,9.0,9.0,9.0,9.0,9.0,K.DEMİR
HALİL ŞİMŞEK,3411.0,278.0,266.0,284.0,322.0,278.0,8.0,8.0,8.0,9.0,8.0,H.ŞİMŞEK
HASAN ALTUNBAŞ,2803.0,277.0,252.0,267.0,303.0,273.0,10.0,9.0,10.0,11.0,10.0,H.ALTUNBAŞ
ABDULGAFAR TOPRAK,3521.0,275.0,318.0,300.0,282.0,329.0,8.0,9.0,9.0,8.0,9.0,A.TOPRAK
AYDIN KÜÇÜKAKSOY,2351.0,274.0,302.0,266.0,268.0,278.0,12.0,13.0,11.0,11.0,12.0,A.KÜÇÜKAKSOY
HAYRİ ARAN,3837.0,274.0,313.0,315.0,344.0,374.0,7.0,8.0,8.0,9.0,10.0,H.ARAN
ENVER KOÇAK,2020.0,272.0,224.0,212.0,248.0,192.0,13.0,11.0,10.0,12.0,10.0,E.KOÇAK
EKREM PAPAĞAN,1895.0,270.0,214.0,234.0,194.0,183.0,14.0,11.0,12.0,10.0,10.0,E.PAPAĞAN
ALİ ENDER ALKIŞ,3370.0,267.0,282.0,313.0,309.0,318.0,8.0,8.0,9.0,9.0,9.0,A.E.ALKIŞ
SONER KULAK,2464.0,264.0,234.0,251.0,265.0,214.0,11.0,9.0,10.0,11.0,9.0,S.KULAK
AVNİ KARAKUŞ,2602.0,264.0,273.0,264.0,283.0,260.0,10.0,10.0,10.0,11.0,10.0,A.KARAKUŞ
ŞÜKRÜ ÇELİK,2599.0,263.0,231.0,236.0,261.0,257.0,10.0,9.0,9.0,10.0,10.0,Ş.ÇELİK
SABİT EREN,1878.0,262.0,240.0,222.0,203.0,176.0,14.0,13.0,12.0,11.0,9.0,S.EREN
SABRİ BEKTAŞ,2358.0,262.0,254.0,275.0,272.0,238.0,11.0,11.0,12.0,12.0,10.0,S.BEKTAŞ
İSMET TEKİNALP,2380.0,258.0,280.0,300.0,243.0,240.0,11.0,12.0,13.0,10.0,10.0,İ.TEKİNALP
MUSTAFA ATAL,2812.0,258.0,267.0,258.0,293.0,246.0,9.0,9.0,9.0,10.0,9.0,M.ATAL
MÜCAHİT KAYA,1634.0,257.0,215.0,213.0,198.0,178.0,16.0,13.0,13.0,12.0,11.0,M.KAYA
MUHİTTİN ACAR,2946.0,257.0,306.0,317.0,300.0,296.0,9.0,10.0,11.0,10.0,10.0,M.ACAR
ÜMÜT BULUT,2328.0,256.0,238.0,231.0,236.0,217.0,11.0,10.0,10.0,10.0,9.0,Ü.BULUT
CUMA GÜNEŞ,2355.0,256.0,263.0,257.0,256.0,220.0,11.0,11.0,11.0,11.0,9.0,C.GÜNEŞ
CUMA YILDIRIM,2198.0,250.0,235.0,215.0,204.0,206.0,11.0,11.0,10.0,9.0,9.0,C.YILDIRIM
ALİ ÇAY,1864.0,246.0,250.0,231.0,214.0,197.0,13.0,13.0,12.0,11.0,11.0,A.ÇAY
METİN SAÇAN,1778.0,245.0,233.0,255.0,175.0,160.0,14.0,13.0,14.0,10.0,9.0,M.SAÇAN
AHMET EMİN AVCI,1882.0,245.0,177.0,174.0,168.0,155.0,13.0,9.0,9.0,9.0,8.0,A.E.AVCI
ABDULLAH ÇİFTÇİ,2175.0,245.0,237.0,248.0,265.0,233.0,11.0,11.0,11.0,12.0,11.0,A.ÇİFTÇİ
EYYÜP YARDIMCI,2151.0,245.0,258.0,239.0,258.0,209.0,11.0,12.0,11.0,12.0,10.0,E.YARDIMCI
MUSTAFA YİĞİTER,1670.0,244.0,211.0,181.0,149.0,135.0,15.0,13.0,11.0,9.0,8.0,M.YİĞİTER
RAMAZAN TAŞDEMİR,1411.0,242.0,201.0,171.0,159.0,152.0,17.0,14.0,12.0,11.0,11.0,R.TAŞDEMİR
SEYİT GÖKÇE,1887.0,242.0,254.0,239.0,211.0,212.0,13.0,13.0,13.0,11.0,11.0,S.GÖKÇE
TARKAN ŞİT,1961.0,242.0,255.0,238.0,227.0,210.0,12.0,13.0,12.0,12.0,11.0,T.ŞİT
HASAN TOP,2244.0,242.0,230.0,285.0,253.0,203.0,11.0,10.0,13.0,11.0,9.0,H.TOP
AYHAN KASAR,2808.0,240.0,259.0,262.0,304.0,322.0,9.0,9.0,9.0,11.0,11.0,A.KASAR
MAHMUT BAYKARA,2259.0,237.0,258.0,291.0,251.0,271.0,10.0,11.0,13.0,11.0,12.0,M.BAYKARA
ÜMÜT BÖLEK,2748.0,237.0,250.0,250.0,246.0,267.0,9.0,9.0,9.0,9.0,10.0,Ü.BÖLEK
SADETTİN MUTLU,1803.0,235.0,205.0,199.0,154.0,172.0,13.0,11.0,11.0,9.0,10.0,S.MUTLU
İLHAMİ GÜMÜŞ,2227.0,235.0,194.0,221.0,223.0,172.0,11.0,9.0,10.0,10.0,8.0,İ.GÜMÜŞ
ALİ BOZKURT,2417.0,235.0,230.0,254.0,257.0,221.0,10.0,10.0,11.0,11.0,9.0,A.BOZKURT
SAİM KERESTECİ,1693.0,234.0,226.0,222.0,211.0,209.0,14.0,13.0,13.0,12.0,12.0,S.KERESTECİ
RAMAZAN ÇİNAR,2504.0,234.0,234.0,253.0,231.0,237.0,9.0,9.0,10.0,9.0,9.0,R.ÇİNAR
