Kısrak,Ülke Adı,Irk Adı,Koşan Tay Adet,Koşu,1.,2.,3.,4.,5.,1.%,2.%,3.%,4.%,5.%,Kazanç
MEBRUKE.52,TÜRKİYE,Arap,14.0,975.0,153.0,91.0,90.0,92.0,88.0,16.0,9.0,9.0,9.0,9.0,",00"
NEAME.39,TÜRKİYE,Arap,11.0,603.0,134.0,98.0,82.0,82.0,53.0,22.0,16.0,14.0,14.0,9.0,"5.125.581,50"
KEMİYETÜLIRAK.26,TÜRKİYE,Arap,12.0,644.0,129.0,85.0,68.0,69.0,50.0,20.0,13.0,11.0,11.0,8.0,"383.749,00"
MENCULE.11,TÜRKİYE,Arap,13.0,806.0,129.0,106.0,92.0,95.0,90.0,16.0,13.0,11.0,12.0,11.0,",00"
SEYYARE.55,TÜRKİYE,Arap,14.0,747.0,128.0,93.0,72.0,75.0,64.0,17.0,12.0,10.0,10.0,9.0,"11.459.860,00"
SEYYARE.37,TÜRKİYE,Arap,11.0,927.0,118.0,125.0,110.0,105.0,77.0,13.0,13.0,12.0,11.0,8.0,"1.858.183,00"
ZEHRA.61,TÜRKİYE,Arap,9.0,951.0,117.0,124.0,105.0,107.0,124.0,12.0,13.0,11.0,11.0,13.0,",00"
KEMİYETÜLIRAK.55,TÜRKİYE,Arap,11.0,627.0,112.0,110.0,102.0,86.0,60.0,18.0,18.0,16.0,14.0,10.0,"8.421.741,20"
MENCULE.47,TÜRKİYE,Arap,10.0,894.0,111.0,127.0,120.0,101.0,89.0,12.0,14.0,13.0,11.0,10.0,"4.770.015,00"
KEMİYETÜLIRAK.16,TÜRKİYE,Arap,11.0,882.0,110.0,127.0,111.0,107.0,98.0,12.0,14.0,13.0,12.0,11.0,",00"
MARAL,TÜRKİYE,İngiliz,9.0,586.0,109.0,101.0,94.0,81.0,78.0,19.0,17.0,16.0,14.0,13.0,",00"
MEBRUKE.87,TÜRKİYE,Arap,15.0,881.0,108.0,113.0,113.0,81.0,83.0,12.0,13.0,13.0,9.0,9.0,"5.264.575,00"
CAHİDE.67,TÜRKİYE,Arap,11.0,866.0,107.0,136.0,119.0,108.0,84.0,12.0,16.0,14.0,12.0,10.0,"4.264.779,00"
MEBRUKE.75,TÜRKİYE,Arap,9.0,710.0,105.0,86.0,68.0,81.0,81.0,15.0,12.0,10.0,11.0,11.0,"2.506.366,00"
FAZILA.18,TÜRKİYE,Arap,12.0,681.0,105.0,105.0,84.0,84.0,69.0,15.0,15.0,12.0,12.0,10.0,"11.678,00"
MESRURE.29,TÜRKİYE,Arap,11.0,809.0,104.0,86.0,96.0,82.0,104.0,13.0,11.0,12.0,10.0,13.0,"3.256,00"
BEDEL.2,TÜRKİYE,Arap,10.0,333.0,100.0,50.0,28.0,25.0,20.0,30.0,15.0,8.0,8.0,6.0,"17.620.687,50"
SABIKA.68,TÜRKİYE,Arap,9.0,568.0,100.0,94.0,50.0,62.0,53.0,18.0,17.0,9.0,11.0,9.0,"2.278.955,50"
ALMİMRUHİYE.12,TÜRKİYE,Arap,12.0,805.0,100.0,95.0,102.0,92.0,87.0,12.0,12.0,13.0,11.0,11.0,"757.082,00"
ZAFİRE.5.,TÜRKİYE,Arap,8.0,588.0,99.0,80.0,74.0,68.0,60.0,17.0,14.0,13.0,12.0,10.0,",00"
ZAFİRE.6.,TÜRKİYE,Arap,11.0,737.0,99.0,78.0,97.0,94.0,84.0,13.0,11.0,13.0,13.0,11.0,",00"
SEYYARE.14,TÜRKİYE,Arap,10.0,879.0,99.0,93.0,132.0,113.0,94.0,11.0,11.0,15.0,13.0,11.0,",00"
HANEDAN,TÜRKİYE,Arap,14.0,730.0,98.0,96.0,87.0,82.0,93.0,13.0,13.0,12.0,11.0,13.0,"10.955.018,75"
TURFETÜNNUR.7.,TÜRKİYE,Arap,7.0,597.0,97.0,89.0,86.0,77.0,86.0,16.0,15.0,14.0,13.0,14.0,",00"
MENCULE.18,TÜRKİYE,Arap,11.0,710.0,97.0,65.0,73.0,86.0,61.0,14.0,9.0,10.0,12.0,9.0,",00"
SABIKA.70,TÜRKİYE,Arap,10.0,528.0,95.0,67.0,58.0,46.0,53.0,18.0,13.0,11.0,9.0,10.0,"2.502.228,00"
TURFETÜNNUR.12,TÜRKİYE,Arap,8.0,658.0,95.0,74.0,67.0,55.0,74.0,14.0,11.0,10.0,8.0,11.0,"276.694,50"
KALAMIŞ ESİNTİSİ,TÜRKİYE,Arap,12.0,501.0,94.0,70.0,47.0,58.0,45.0,19.0,14.0,9.0,12.0,9.0,"7.998.461,70"
MESRURE.27,TÜRKİYE,Arap,6.0,484.0,93.0,61.0,73.0,51.0,63.0,19.0,13.0,15.0,11.0,13.0,",00"
KEMİYETÜLIRAK.18,TÜRKİYE,Arap,8.0,653.0,93.0,122.0,88.0,82.0,81.0,14.0,19.0,13.0,13.0,12.0,",00"
SAPHA.29,TÜRKİYE,Arap,9.0,750.0,92.0,106.0,74.0,78.0,85.0,12.0,14.0,10.0,10.0,11.0,"3.661.870,00"
SEYYARE.27,TÜRKİYE,Arap,10.0,824.0,91.0,99.0,103.0,107.0,97.0,11.0,12.0,12.0,13.0,12.0,",00"
MEBRUKE.70,TÜRKİYE,Arap,9.0,450.0,90.0,43.0,56.0,39.0,54.0,20.0,10.0,12.0,9.0,12.0,"446.547,00"
SEYYARE.17,TÜRKİYE,Arap,8.0,661.0,90.0,89.0,90.0,71.0,81.0,14.0,13.0,14.0,11.0,12.0,",00"
SABIKA.52,TÜRKİYE,Arap,10.0,965.0,90.0,99.0,107.0,105.0,103.0,9.0,10.0,11.0,11.0,11.0,"1.055.852,50"
ZEHRA.24,TÜRKİYE,Arap,6.0,574.0,89.0,76.0,70.0,74.0,70.0,16.0,13.0,12.0,13.0,12.0,",00"
HANDAN.1,TÜRKİYE,Arap,6.0,361.0,88.0,59.0,47.0,27.0,29.0,24.0,16.0,13.0,7.0,8.0,"3.325.570,00"
ZAHİDE.29,TÜRKİYE,Arap,15.0,543.0,88.0,66.0,56.0,59.0,54.0,16.0,12.0,10.0,11.0,10.0,"1.114.411,00"
ALMİMRUHİYE.27,TÜRKİYE,Arap,13.0,749.0,88.0,71.0,83.0,61.0,52.0,12.0,9.0,11.0,8.0,7.0,"8.164.245,00"
KİRAZKIZI,TÜRKİYE,Arap,11.0,508.0,86.0,57.0,59.0,59.0,43.0,17.0,11.0,12.0,12.0,8.0,"12.601.317,50"
NEAME.52,TÜRKİYE,Arap,11.0,564.0,86.0,72.0,38.0,42.0,38.0,15.0,13.0,7.0,7.0,7.0,"6.283.322,50"
MATRA.48,TÜRKİYE,Arap,7.0,796.0,86.0,104.0,106.0,110.0,91.0,11.0,13.0,13.0,14.0,11.0,"3.680.831,80"
ŞERZETÜLHAVVA.36,TÜRKİYE,Arap,9.0,608.0,84.0,86.0,60.0,76.0,76.0,14.0,14.0,10.0,12.0,12.0,",00"
ÇİLEK.1961,TÜRKİYE,Arap,8.0,663.0,83.0,81.0,81.0,92.0,47.0,13.0,12.0,12.0,14.0,7.0,",00"
ZEHRA.55,TÜRKİYE,Arap,8.0,545.0,82.0,70.0,91.0,51.0,44.0,15.0,13.0,17.0,9.0,8.0,",00"
MENCULE.23,TÜRKİYE,Arap,11.0,624.0,82.0,64.0,60.0,71.0,68.0,13.0,10.0,10.0,11.0,11.0,"64.863,00"
CAHİDE.23,TÜRKİYE,Arap,8.0,653.0,82.0,110.0,82.0,88.0,58.0,13.0,17.0,13.0,13.0,9.0,",00"
FREE GOLD,TÜRKİYE,İngiliz,14.0,482.0,81.0,70.0,77.0,66.0,61.0,17.0,15.0,16.0,14.0,13.0,",00"
MESRURE.28,TÜRKİYE,Arap,8.0,563.0,81.0,65.0,58.0,57.0,64.0,14.0,12.0,10.0,10.0,11.0,"214.913,00"
GUFRE.17,TÜRKİYE,Arap,9.0,576.0,81.0,69.0,69.0,71.0,74.0,14.0,12.0,12.0,12.0,13.0,",00"
SEVİNÇKAN,TÜRKİYE,Arap,7.0,534.0,79.0,67.0,91.0,60.0,64.0,15.0,13.0,17.0,11.0,12.0,"10.041.081,25"
SABIKA.73,TÜRKİYE,Arap,9.0,584.0,79.0,81.0,76.0,76.0,54.0,14.0,14.0,13.0,13.0,9.0,"4.017.960,00"
ZAFİRE.8.,TÜRKİYE,Arap,6.0,569.0,79.0,64.0,63.0,51.0,66.0,14.0,11.0,11.0,9.0,12.0,"21.628,50"
MALIBU GIRL,ABD(A),Arap,9.0,338.0,78.0,58.0,47.0,46.0,25.0,23.0,17.0,14.0,14.0,7.0,"7.055.158,00"
BAĞGÜZELİ,TÜRKİYE,Arap,12.0,408.0,78.0,56.0,33.0,40.0,34.0,19.0,14.0,8.0,10.0,8.0,"7.763.058,75"
SABIKA.17,TÜRKİYE,Arap,9.0,403.0,78.0,58.0,54.0,32.0,52.0,19.0,14.0,13.0,8.0,13.0,",00"
HASMİN,TÜRKİYE,Arap,8.0,451.0,78.0,64.0,51.0,46.0,44.0,17.0,14.0,11.0,10.0,10.0,"9.227.156,25"
SAHRA.25,TÜRKİYE,Arap,7.0,525.0,78.0,67.0,54.0,60.0,34.0,15.0,13.0,10.0,11.0,6.0,"3.028.567,50"
ILGIN,TÜRKİYE,Arap,15.0,566.0,78.0,57.0,53.0,54.0,58.0,14.0,10.0,9.0,10.0,10.0,"5.381.594,25"
ŞAHİDE.47,TÜRKİYE,Arap,11.0,602.0,78.0,87.0,73.0,56.0,58.0,13.0,14.0,12.0,9.0,10.0,"4.182.805,00"
MEBRUKE.86,TÜRKİYE,Arap,11.0,659.0,78.0,71.0,76.0,54.0,57.0,12.0,11.0,12.0,8.0,9.0,"2.718.885,00"
EARTHA KITT,İNGİLTERE,İngiliz,12.0,403.0,77.0,64.0,60.0,43.0,65.0,19.0,16.0,15.0,11.0,16.0,",00"
MY SONG,TÜRKİYE,İngiliz,13.0,418.0,77.0,56.0,63.0,56.0,53.0,18.0,13.0,15.0,13.0,13.0,",00"
SİLVER,TÜRKİYE,Arap,8.0,439.0,77.0,35.0,32.0,52.0,44.0,18.0,8.0,7.0,12.0,10.0,"741.885,00"
KÜÇÜKMATRA,TÜRKİYE,Arap,10.0,523.0,77.0,82.0,58.0,59.0,55.0,15.0,16.0,11.0,11.0,11.0,"2.777.667,50"
NAZIMA.26,TÜRKİYE,Arap,11.0,593.0,77.0,60.0,58.0,51.0,63.0,13.0,10.0,10.0,9.0,11.0,"854.243,00"
MEBRUKE.78,TÜRKİYE,Arap,11.0,636.0,77.0,74.0,82.0,76.0,58.0,12.0,12.0,13.0,12.0,9.0,"2.879.401,00"
NEAME.23,TÜRKİYE,Arap,5.0,338.0,76.0,46.0,39.0,39.0,41.0,22.0,14.0,12.0,12.0,12.0,",00"
MAHİDE.18,TÜRKİYE,Arap,9.0,489.0,76.0,72.0,46.0,34.0,50.0,16.0,15.0,9.0,7.0,10.0,"2.529.140,00"
MATRA.57,TÜRKİYE,Arap,7.0,561.0,76.0,73.0,63.0,61.0,56.0,14.0,13.0,11.0,11.0,10.0,"1.691.784,00"
CERENİM,TÜRKİYE,Arap,11.0,622.0,76.0,64.0,75.0,61.0,66.0,12.0,10.0,12.0,10.0,11.0,"5.667.200,00"
MEBRUKE.79,TÜRKİYE,Arap,13.0,799.0,76.0,89.0,89.0,96.0,75.0,10.0,11.0,11.0,12.0,9.0,"1.604.722,50"
MEBRUKE.26,TÜRKİYE,Arap,6.0,331.0,75.0,43.0,43.0,29.0,49.0,23.0,13.0,13.0,9.0,15.0,",00"
ALMİMRUHİYE.25,TÜRKİYE,Arap,9.0,576.0,75.0,78.0,90.0,68.0,53.0,13.0,14.0,16.0,12.0,9.0,"5.910.617,50"
KEMİYETÜLIRAK.48,TÜRKİYE,Arap,9.0,685.0,75.0,75.0,75.0,45.0,61.0,11.0,11.0,11.0,7.0,9.0,"2.360.835,00"
ZÜBEYDE,TÜRKİYE,Arap,6.0,169.0,74.0,18.0,18.0,10.0,13.0,44.0,11.0,11.0,6.0,8.0,",00"
TANZARA,TÜRKİYE,İngiliz,11.0,326.0,74.0,56.0,50.0,47.0,27.0,23.0,17.0,15.0,14.0,8.0,",00"
MAHSUSE.34,TÜRKİYE,Arap,10.0,404.0,74.0,63.0,61.0,43.0,49.0,18.0,16.0,15.0,11.0,12.0,",00"
NEAME.48,TÜRKİYE,Arap,10.0,508.0,74.0,47.0,42.0,56.0,55.0,15.0,9.0,8.0,11.0,11.0,"2.935.455,00"
SABIKA.51,TÜRKİYE,Arap,9.0,550.0,74.0,70.0,47.0,47.0,45.0,13.0,13.0,9.0,9.0,8.0,"137.885,00"
GÜLENDAM,TÜRKİYE,Arap,7.0,585.0,74.0,89.0,84.0,76.0,67.0,13.0,15.0,14.0,13.0,11.0,"7.615.343,75"
CAHİDE.73,TÜRKİYE,Arap,14.0,607.0,74.0,66.0,65.0,68.0,46.0,12.0,11.0,11.0,11.0,8.0,"4.060.870,00"
MAHİDE.14,TÜRKİYE,Arap,11.0,703.0,74.0,76.0,76.0,70.0,61.0,11.0,11.0,11.0,10.0,9.0,"3.697.004,00"
MENCULE.38,TÜRKİYE,Arap,9.0,644.0,74.0,92.0,88.0,65.0,59.0,11.0,14.0,14.0,10.0,9.0,"1.750.144,50"
HAMDE.40,TÜRKİYE,Arap,12.0,677.0,74.0,75.0,84.0,78.0,66.0,11.0,11.0,12.0,12.0,10.0,",00"
ZEHRA.57,TÜRKİYE,Arap,7.0,411.0,73.0,55.0,54.0,47.0,50.0,18.0,13.0,13.0,11.0,12.0,",00"
JALE.7,TÜRKİYE,Arap,8.0,467.0,73.0,69.0,57.0,53.0,44.0,16.0,15.0,12.0,11.0,9.0,",00"
NAZIMA.32,TÜRKİYE,Arap,8.0,481.0,73.0,55.0,51.0,50.0,53.0,15.0,11.0,11.0,10.0,11.0,"4.184.163,75"
MEBRUKE.62,TÜRKİYE,Arap,10.0,510.0,73.0,54.0,49.0,47.0,48.0,14.0,11.0,10.0,9.0,9.0,",00"
WAIT FOR SPRING,ABD,İngiliz,6.0,329.0,72.0,43.0,37.0,32.0,45.0,22.0,13.0,11.0,10.0,14.0,"5.849.168,75"
GUFRE.20,TÜRKİYE,Arap,9.0,508.0,72.0,66.0,58.0,62.0,48.0,14.0,13.0,11.0,12.0,9.0,",00"
ADIGÜL,TÜRKİYE,Arap,10.0,538.0,72.0,84.0,67.0,61.0,66.0,13.0,16.0,12.0,11.0,12.0,"5.702.186,25"
CAHİDE.68,TÜRKİYE,Arap,5.0,582.0,72.0,63.0,72.0,67.0,59.0,12.0,11.0,12.0,12.0,10.0,"1.402.249,00"
GUFRE.16,TÜRKİYE,Arap,4.0,284.0,71.0,45.0,41.0,29.0,40.0,25.0,16.0,14.0,10.0,14.0,",00"
ARTVİN GÜZELİ,TÜRKİYE,Arap,8.0,282.0,71.0,33.0,39.0,24.0,23.0,25.0,12.0,14.0,9.0,8.0,"10.651.538,75"
KEEP SHINING,ABD,İngiliz,10.0,330.0,71.0,43.0,35.0,50.0,30.0,22.0,13.0,11.0,15.0,9.0,"2.227.127,35"
BAGATELLE,TÜRKİYE,İngiliz,13.0,511.0,71.0,75.0,80.0,64.0,58.0,14.0,15.0,16.0,13.0,11.0,",00"
SABIKA.40,TÜRKİYE,Arap,10.0,576.0,71.0,96.0,73.0,53.0,55.0,12.0,17.0,13.0,9.0,10.0,",00"
GUFRE.29,TÜRKİYE,Arap,13.0,732.0,71.0,72.0,94.0,75.0,62.0,10.0,10.0,13.0,10.0,8.0,"167.127,00"
KEMİYETÜLIRAK.22,TÜRKİYE,Arap,6.0,344.0,70.0,75.0,49.0,45.0,24.0,20.0,22.0,14.0,13.0,7.0,",00"
MISS NANCY,TÜRKİYE,İngiliz,16.0,398.0,70.0,46.0,42.0,26.0,31.0,18.0,12.0,11.0,7.0,8.0,"3.194.005,00"
CAHİDE.80,TÜRKİYE,Arap,8.0,590.0,70.0,87.0,69.0,81.0,61.0,12.0,15.0,12.0,14.0,10.0,"4.251.463,75"
MEBRUKE.65,TÜRKİYE,Arap,8.0,630.0,70.0,75.0,73.0,64.0,67.0,11.0,12.0,12.0,10.0,11.0,"8.262,50"
KEMİYETÜLIRAK.56,TÜRKİYE,Arap,8.0,679.0,70.0,85.0,79.0,87.0,79.0,10.0,13.0,12.0,13.0,12.0,"4.024.180,00"
NECME.35,TÜRKİYE,Arap,12.0,764.0,70.0,76.0,77.0,65.0,72.0,9.0,10.0,10.0,9.0,9.0,"2.991.000,00"
MALİKE.18,TÜRKİYE,Arap,2.0,146.0,69.0,26.0,17.0,13.0,7.0,47.0,18.0,12.0,9.0,5.0,"8.924.830,00"
FERULE,ABD,İngiliz,8.0,362.0,69.0,68.0,46.0,50.0,41.0,19.0,19.0,13.0,14.0,11.0,",00"
TURFETÜNNUR.10,TÜRKİYE,Arap,6.0,367.0,69.0,57.0,54.0,51.0,34.0,19.0,16.0,15.0,14.0,9.0,",00"
ARUZ,TÜRKİYE,Arap,4.0,434.0,69.0,76.0,72.0,66.0,49.0,16.0,18.0,17.0,15.0,11.0,",00"
BLACK DIAMOND,İNGİLTERE,İngiliz,8.0,473.0,69.0,69.0,70.0,61.0,49.0,15.0,15.0,15.0,13.0,10.0,"2.130.056,50"
MENCULE.44,TÜRKİYE,Arap,8.0,527.0,69.0,68.0,73.0,54.0,75.0,13.0,13.0,14.0,10.0,14.0,"2.577.261,50"
MENCULE.40,TÜRKİYE,Arap,8.0,574.0,69.0,62.0,44.0,61.0,46.0,12.0,11.0,8.0,11.0,8.0,"957.138,50"
NEAME.56,TÜRKİYE,Arap,11.0,693.0,69.0,76.0,82.0,84.0,61.0,10.0,11.0,12.0,12.0,9.0,"4.236.176,25"
GOLDEN TUDOR,TÜRKİYE,İngiliz,8.0,309.0,68.0,59.0,38.0,44.0,27.0,22.0,19.0,12.0,14.0,9.0,",00"
MEBRUKE.91,TÜRKİYE,Arap,7.0,433.0,68.0,51.0,57.0,62.0,45.0,16.0,12.0,13.0,14.0,10.0,"5.089.223,00"
ZAFİRE.11,TÜRKİYE,Arap,10.0,496.0,68.0,52.0,35.0,48.0,32.0,14.0,10.0,7.0,10.0,6.0,"1.135.959,50"
ZEHRA.52,TÜRKİYE,Arap,9.0,527.0,68.0,70.0,67.0,66.0,50.0,13.0,13.0,13.0,13.0,9.0,",00"
MELİKETÜLCEMAL.19,TÜRKİYE,Arap,8.0,562.0,68.0,66.0,67.0,79.0,57.0,12.0,12.0,12.0,14.0,10.0,",00"
RODE.7.,TÜRKİYE,Arap,10.0,694.0,68.0,81.0,59.0,73.0,71.0,10.0,12.0,9.0,11.0,10.0,"87.239,50"
GUFRE.18,TÜRKİYE,Arap,4.0,260.0,67.0,44.0,43.0,32.0,26.0,26.0,17.0,17.0,12.0,10.0,",00"
MEBRUKE.73,TÜRKİYE,Arap,13.0,466.0,67.0,62.0,45.0,45.0,43.0,14.0,13.0,10.0,10.0,9.0,"1.471.443,00"
EGEİNCİSİ,TÜRKİYE,Arap,10.0,471.0,67.0,53.0,57.0,51.0,40.0,14.0,11.0,12.0,11.0,8.0,"3.768.550,00"
TURFETÜNNUR.15,TÜRKİYE,Arap,9.0,561.0,67.0,77.0,64.0,61.0,63.0,12.0,14.0,11.0,11.0,11.0,"448.632,50"
ALMİMRUHİYE.16,TÜRKİYE,Arap,12.0,557.0,67.0,53.0,40.0,58.0,45.0,12.0,10.0,7.0,10.0,8.0,"593.699,50"
OYUNCU.11,TÜRKİYE,Arap,9.0,656.0,67.0,82.0,95.0,77.0,53.0,10.0,12.0,14.0,12.0,8.0,"645.990,00"
SEYYARE.43,TÜRKİYE,Arap,10.0,710.0,67.0,63.0,78.0,72.0,74.0,9.0,9.0,11.0,10.0,10.0,"757.875,00"
KEMİYETÜLIRAK.52,TÜRKİYE,Arap,9.0,371.0,66.0,62.0,51.0,39.0,33.0,18.0,17.0,14.0,11.0,9.0,"3.773.682,50"
CAHİDE.53,TÜRKİYE,Arap,9.0,415.0,66.0,52.0,55.0,44.0,29.0,16.0,13.0,13.0,11.0,7.0,"684.990,00"
KEMİYETÜLIRAK.12,TÜRKİYE,Arap,6.0,516.0,66.0,78.0,86.0,69.0,53.0,13.0,15.0,17.0,13.0,10.0,",00"
TRIANGLE,İNGİLTERE,İngiliz,12.0,394.0,65.0,43.0,64.0,37.0,41.0,16.0,11.0,16.0,9.0,10.0,"2.634.440,00"
EFRUZ,TÜRKİYE,Arap,10.0,473.0,65.0,60.0,59.0,45.0,45.0,14.0,13.0,12.0,10.0,10.0,"4.651.426,25"
GÜLÜMSER.1,TÜRKİYE,Arap,10.0,508.0,65.0,60.0,59.0,43.0,49.0,13.0,12.0,12.0,8.0,10.0,"2.295.535,00"
NAZIMA.28,TÜRKİYE,Arap,8.0,547.0,65.0,59.0,64.0,57.0,52.0,12.0,11.0,12.0,10.0,10.0,"759.482,50"
SABIKA.76,TÜRKİYE,Arap,7.0,538.0,65.0,57.0,83.0,62.0,45.0,12.0,11.0,15.0,12.0,8.0,"3.001.725,00"
SEVİN,İNGİLTERE,İngiliz,6.0,211.0,64.0,46.0,33.0,27.0,10.0,30.0,22.0,16.0,13.0,5.0,",00"
ŞERİFE.1,TÜRKİYE,Arap,9.0,393.0,64.0,30.0,36.0,36.0,39.0,16.0,8.0,9.0,9.0,10.0,"1.458.310,00"
MENCULE.26,TÜRKİYE,Arap,14.0,533.0,64.0,51.0,55.0,49.0,57.0,12.0,10.0,10.0,9.0,11.0,"1.007.503,00"
KEMİYETÜLIRAK.10,TÜRKİYE,Arap,12.0,570.0,64.0,70.0,79.0,58.0,76.0,11.0,12.0,14.0,10.0,13.0,",00"
MEHPARE,TÜRKİYE,Arap,8.0,614.0,64.0,56.0,68.0,59.0,57.0,10.0,9.0,11.0,10.0,9.0,"120,00"
CAHİDE.59,TÜRKİYE,Arap,11.0,676.0,64.0,80.0,68.0,67.0,57.0,9.0,12.0,10.0,10.0,8.0,"383.447,50"
NEAME.46,TÜRKİYE,Arap,11.0,789.0,64.0,87.0,87.0,95.0,92.0,8.0,11.0,11.0,12.0,12.0,"1.883.188,50"
CAHİDE,TÜRKİYE,İngiliz,8.0,339.0,63.0,50.0,50.0,37.0,48.0,19.0,15.0,15.0,11.0,14.0,",00"
BENEKLİKIZ,TÜRKİYE,İngiliz,10.0,344.0,63.0,40.0,50.0,33.0,30.0,18.0,12.0,15.0,10.0,9.0,"4.407.518,75"
SABIKA.39,TÜRKİYE,Arap,6.0,359.0,63.0,46.0,54.0,40.0,26.0,18.0,13.0,15.0,11.0,7.0,",00"
YAZGÜNÜ,TÜRKİYE,Arap,6.0,475.0,63.0,73.0,51.0,74.0,52.0,13.0,15.0,11.0,16.0,11.0,"6.650.806,25"
ZEHRA.105,TÜRKİYE,Arap,11.0,560.0,63.0,55.0,62.0,38.0,50.0,11.0,10.0,11.0,7.0,9.0,"1.686.704,50"
ZEHRA.121,TÜRKİYE,Arap,15.0,666.0,63.0,69.0,72.0,66.0,57.0,9.0,10.0,11.0,10.0,9.0,"3.994.807,50"
NEAME.40,TÜRKİYE,Arap,11.0,700.0,63.0,88.0,67.0,81.0,71.0,9.0,13.0,10.0,12.0,10.0,"2.401.478,00"
LİNDA,TÜRKİYE,İngiliz,6.0,148.0,62.0,27.0,16.0,15.0,15.0,42.0,18.0,11.0,10.0,10.0,",00"
NESLOŞ,TÜRKİYE,İngiliz,8.0,240.0,62.0,42.0,42.0,35.0,21.0,26.0,18.0,18.0,15.0,9.0,",00"
FREE TRADE,TÜRKİYE,İngiliz,10.0,247.0,62.0,39.0,30.0,32.0,12.0,25.0,16.0,12.0,13.0,5.0,"7.520.759,22"
DINAH,FRANSA,İngiliz,11.0,261.0,62.0,39.0,32.0,23.0,27.0,24.0,15.0,12.0,9.0,10.0,"4.908.616,82"
BİRİÇİMSU,TÜRKİYE,Arap,7.0,295.0,62.0,40.0,25.0,38.0,18.0,21.0,14.0,8.0,13.0,6.0,"10.136.665,00"
MAVİ SEMA,TÜRKİYE,İngiliz,12.0,335.0,62.0,23.0,34.0,36.0,25.0,19.0,7.0,10.0,11.0,7.0,"7.370.507,50"
PRIMELTA,İNGİLTERE,İngiliz,10.0,351.0,62.0,43.0,33.0,44.0,40.0,18.0,12.0,9.0,13.0,11.0,"4.090.645,00"
ŞEKER AYŞE,TÜRKİYE,İngiliz,11.0,372.0,62.0,51.0,38.0,42.0,40.0,17.0,14.0,10.0,11.0,11.0,"16.894.727,50"
JAMAICA AFFAIR,ABD,İngiliz,10.0,381.0,62.0,69.0,47.0,44.0,30.0,16.0,18.0,12.0,12.0,8.0,"3.901.415,00"
SABIKA.53,TÜRKİYE,Arap,7.0,403.0,62.0,54.0,39.0,42.0,38.0,15.0,13.0,10.0,10.0,9.0,"38.541,00"
EBRUCAN,TÜRKİYE,Arap,8.0,418.0,62.0,45.0,53.0,49.0,46.0,15.0,11.0,13.0,12.0,11.0,"4.174.240,50"
CAHİDE SULTAN,TÜRKİYE,Arap,7.0,457.0,62.0,57.0,60.0,53.0,50.0,14.0,12.0,13.0,12.0,11.0,"4.045.802,50"
MENCULE.16,TÜRKİYE,Arap,10.0,498.0,62.0,59.0,58.0,42.0,59.0,12.0,12.0,12.0,8.0,12.0,",00"
AYDANAZ,TÜRKİYE,Arap,15.0,519.0,62.0,44.0,65.0,68.0,51.0,12.0,8.0,13.0,13.0,10.0,"8.966.882,50"
MENCULE.29,TÜRKİYE,Arap,10.0,628.0,62.0,62.0,67.0,60.0,48.0,10.0,10.0,11.0,10.0,8.0,"543.952,00"
MEBRUKE.46,TÜRKİYE,Arap,9.0,625.0,62.0,104.0,78.0,69.0,53.0,10.0,17.0,12.0,11.0,8.0,",00"
MALİKE.8,TÜRKİYE,Arap,6.0,617.0,62.0,87.0,78.0,79.0,86.0,10.0,14.0,13.0,13.0,14.0,",00"
MENCULE.32,TÜRKİYE,Arap,13.0,743.0,62.0,69.0,64.0,76.0,82.0,8.0,9.0,9.0,10.0,11.0,"794.676,00"
AY-İZİ,TÜRKİYE,İngiliz,8.0,141.0,61.0,25.0,14.0,13.0,15.0,43.0,18.0,10.0,9.0,11.0,",00"
REAL GIRL,TÜRKİYE,İngiliz,8.0,277.0,61.0,41.0,45.0,37.0,22.0,22.0,15.0,16.0,13.0,8.0,"10.826.110,05"
PUMA I,TÜRKİYE,İngiliz,7.0,305.0,61.0,57.0,40.0,25.0,39.0,20.0,19.0,13.0,8.0,13.0,"77.854,00"
SURUÇ YILDIZI,TÜRKİYE,Arap,8.0,329.0,61.0,39.0,48.0,32.0,22.0,19.0,12.0,15.0,10.0,7.0,"3.333.856,00"
ÇITIR,TÜRKİYE,Arap,13.0,364.0,61.0,47.0,39.0,43.0,46.0,17.0,13.0,11.0,12.0,13.0,"5.799.003,75"
MAHİDE.11,TÜRKİYE,Arap,6.0,385.0,61.0,48.0,44.0,40.0,24.0,16.0,12.0,11.0,10.0,6.0,"248.118,50"
ANZELHA,TÜRKİYE,Arap,9.0,564.0,61.0,69.0,81.0,61.0,60.0,11.0,12.0,14.0,11.0,11.0,"24.026,00"
ŞATAFAT,TÜRKİYE,Arap,12.0,546.0,61.0,53.0,67.0,69.0,57.0,11.0,10.0,12.0,13.0,10.0,"4.525.063,75"
NEAME.28,TÜRKİYE,Arap,9.0,603.0,61.0,73.0,84.0,61.0,48.0,10.0,12.0,14.0,10.0,8.0,"45.188,50"
KARAİNCİ.24,TÜRKİYE,Arap,10.0,619.0,61.0,73.0,53.0,67.0,65.0,10.0,12.0,9.0,11.0,11.0,"3.908.629,60"
KARANARA,TÜRKİYE,İngiliz,9.0,154.0,60.0,25.0,18.0,10.0,12.0,39.0,16.0,12.0,6.0,8.0,"1.030,00"
