Kısrak,Ülke Adı,Irk Adı,Koşan Tay Adet,Koşu,1.,2.,3.,4.,5.,1.%,2.%,3.%,4.%,5.%,Kazanç
BELOVED,TÜRKİYE,İngiliz,3.0,82.0,9.0,18.0,15.0,7.0,8.0,11.0,22.0,18.0,9.0,10.0,",00"
SARISULTAN,TÜRKİYE,Arap,6.0,84.0,9.0,14.0,5.0,9.0,6.0,11.0,17.0,6.0,11.0,7.0,"2.134.008,75"
ŞERZETÜLHAVVA.9,TÜRKİYE,Arap,3.0,80.0,9.0,10.0,7.0,11.0,2.0,11.0,12.0,9.0,14.0,2.0,",00"
APRIL SUNSHINE,ABD,İngiliz,5.0,83.0,9.0,11.0,9.0,12.0,3.0,11.0,13.0,11.0,14.0,4.0,"1.091.567,50"
DÜŞE KALKA,TÜRKİYE,Arap,4.0,80.0,9.0,5.0,8.0,8.0,9.0,11.0,6.0,10.0,10.0,11.0,"1.901.625,00"
JOZEFINA,TÜRKİYE,İngiliz,3.0,84.0,9.0,4.0,8.0,9.0,15.0,11.0,5.0,10.0,11.0,18.0,"1.100.576,25"
HIRÇINKIZ,TÜRKİYE,Arap,2.0,80.0,9.0,7.0,9.0,7.0,8.0,11.0,9.0,11.0,9.0,10.0,"642.390,00"
CRAFTY SPELL,İNGİLTERE,İngiliz,4.0,79.0,9.0,15.0,7.0,10.0,9.0,11.0,19.0,9.0,13.0,11.0,"3.500.406,25"
CAŞDANAY,TÜRKİYE,Arap,4.0,79.0,9.0,6.0,10.0,7.0,4.0,11.0,8.0,13.0,9.0,5.0,"8.596.501,25"
PEPPERONI,TÜRKİYE,İngiliz,3.0,80.0,9.0,7.0,4.0,9.0,10.0,11.0,9.0,5.0,11.0,12.0,"2.153.576,25"
HEYCAN BİR,TÜRKİYE,Arap,3.0,79.0,9.0,6.0,6.0,5.0,11.0,11.0,8.0,8.0,6.0,14.0,"2.910.410,00"
HATIRA I,TÜRKİYE,İngiliz,7.0,89.0,9.0,12.0,11.0,8.0,4.0,10.0,13.0,12.0,9.0,4.0,"13.472,00"
KURTAR,TÜRKİYE,İngiliz,3.0,94.0,9.0,10.0,14.0,11.0,14.0,10.0,11.0,15.0,12.0,15.0,"329.590,00"
NORTHERN SINGER,TÜRKİYE,İngiliz,5.0,94.0,9.0,13.0,12.0,14.0,11.0,10.0,14.0,13.0,15.0,12.0,"459.902,00"
VENEZIA,TÜRKİYE,İngiliz,7.0,92.0,9.0,2.0,11.0,5.0,7.0,10.0,2.0,12.0,5.0,8.0,"240.100,00"
CİHANSULTAN,TÜRKİYE,Arap,7.0,88.0,9.0,5.0,9.0,11.0,5.0,10.0,6.0,10.0,12.0,6.0,"331.260,00"
HANBATUR,TÜRKİYE,Arap,5.0,91.0,9.0,8.0,8.0,10.0,7.0,10.0,9.0,9.0,11.0,8.0,"282.930,00"
MY PRAY,TÜRKİYE,İngiliz,6.0,93.0,9.0,6.0,8.0,7.0,7.0,10.0,6.0,9.0,8.0,8.0,"367.710,00"
TINA,TÜRKİYE,İngiliz,4.0,92.0,9.0,6.0,11.0,6.0,5.0,10.0,7.0,12.0,7.0,5.0,"246.950,00"
DREAM CAT,TÜRKİYE,İngiliz,4.0,92.0,9.0,9.0,12.0,13.0,9.0,10.0,10.0,13.0,14.0,10.0,"437.550,00"
TANYERİ,TÜRKİYE,İngiliz,8.0,87.0,9.0,11.0,7.0,12.0,12.0,10.0,13.0,8.0,14.0,14.0,"1.257.866,25"
ATTO,TÜRKİYE,İngiliz,5.0,88.0,9.0,12.0,15.0,11.0,4.0,10.0,14.0,17.0,12.0,5.0,"536.950,00"
GREY BEAUTY,FRANSA,İngiliz,6.0,91.0,9.0,9.0,9.0,11.0,8.0,10.0,10.0,10.0,12.0,9.0,"862.657,50"
NESLİHU,TÜRKİYE,İngiliz,1.0,87.0,9.0,11.0,10.0,11.0,8.0,10.0,13.0,11.0,13.0,9.0,"239.040,00"
SEPTO,TÜRKİYE,İngiliz,3.0,86.0,9.0,10.0,15.0,11.0,12.0,10.0,12.0,17.0,13.0,14.0,"323.130,00"
KARABACAK,TÜRKİYE,İngiliz,3.0,94.0,9.0,10.0,7.0,13.0,7.0,10.0,11.0,7.0,14.0,7.0,"1.441.547,50"
MELDE GÜZELİ,TÜRKİYE,Arap,3.0,91.0,9.0,10.0,9.0,14.0,9.0,10.0,11.0,10.0,15.0,10.0,"568.320,00"
RİBELLA,TÜRKİYE,Arap,7.0,87.0,9.0,4.0,6.0,5.0,12.0,10.0,5.0,7.0,6.0,14.0,"1.134.737,50"
KATI YILDIZI,TÜRKİYE,Arap,5.0,86.0,9.0,7.0,7.0,7.0,8.0,10.0,8.0,8.0,8.0,9.0,"506.720,00"
SPECIAL ROCK,TÜRKİYE,İngiliz,8.0,90.0,9.0,5.0,10.0,7.0,14.0,10.0,6.0,11.0,8.0,16.0,"728.205,00"
ADLAHANIM,TÜRKİYE,Arap,5.0,86.0,9.0,11.0,9.0,6.0,6.0,10.0,13.0,10.0,7.0,7.0,"465.365,00"
BALFİLİZ,TÜRKİYE,Arap,2.0,90.0,9.0,9.0,10.0,11.0,11.0,10.0,10.0,11.0,12.0,12.0,"1.982.487,50"
SELLUMA,TÜRKİYE,Arap,5.0,89.0,9.0,9.0,9.0,12.0,12.0,10.0,10.0,10.0,13.0,13.0,"1.855.862,50"
KESVACANKIZI,TÜRKİYE,Arap,3.0,91.0,9.0,19.0,6.0,11.0,7.0,10.0,21.0,7.0,12.0,8.0,"1.108.632,50"
KAMIŞLI GÜZELİ,TÜRKİYE,Arap,6.0,91.0,9.0,13.0,8.0,10.0,6.0,10.0,14.0,9.0,11.0,7.0,"1.013.093,75"
DEBONAIR,TÜRKİYE,İngiliz,2.0,87.0,9.0,15.0,13.0,20.0,13.0,10.0,17.0,15.0,23.0,15.0,",00"
SUEDA KIZIM,TÜRKİYE,Arap,3.0,94.0,9.0,18.0,14.0,5.0,7.0,10.0,19.0,15.0,5.0,7.0,"4.107.260,00"
LAJITAS,ABD,İngiliz,3.0,87.0,9.0,9.0,14.0,10.0,9.0,10.0,10.0,16.0,11.0,10.0,"1.236.422,50"
AYŞIN SULTAN,TÜRKİYE,İngiliz,5.0,88.0,9.0,7.0,10.0,11.0,14.0,10.0,8.0,11.0,12.0,16.0,"1.405.587,50"
ORE,TÜRKİYE,İngiliz,2.0,93.0,9.0,11.0,9.0,11.0,10.0,10.0,12.0,10.0,12.0,11.0,"1.866.027,50"
SABAH YAĞMURU,TÜRKİYE,Arap,3.0,93.0,9.0,12.0,11.0,9.0,13.0,10.0,13.0,12.0,10.0,14.0,"2.492.577,50"
DANCE OF JOY,İNGİLTERE,İngiliz,6.0,103.0,9.0,15.0,12.0,12.0,10.0,9.0,15.0,12.0,12.0,10.0,"463.690,00"
GEYVE,TÜRKİYE,İngiliz,5.0,95.0,9.0,13.0,9.0,10.0,9.0,9.0,14.0,9.0,11.0,9.0,"270.910,00"
KARAKIŞ,TÜRKİYE,İngiliz,3.0,97.0,9.0,11.0,14.0,9.0,13.0,9.0,11.0,14.0,9.0,13.0,",00"
LADY BARRISTER,İNGİLTERE,İngiliz,1.0,95.0,9.0,14.0,9.0,14.0,6.0,9.0,15.0,9.0,15.0,6.0,"144.135,00"
PİTİRİ,TÜRKİYE,İngiliz,3.0,96.0,9.0,12.0,14.0,14.0,10.0,9.0,12.0,15.0,15.0,10.0,"420.010,00"
PRINCESS RANI,İRLANDA,İngiliz,4.0,96.0,9.0,19.0,16.0,6.0,8.0,9.0,20.0,17.0,6.0,8.0,"46.665,00"
SAM-AY,TÜRKİYE,İngiliz,4.0,104.0,9.0,8.0,5.0,12.0,7.0,9.0,8.0,5.0,12.0,7.0,"270.220,00"
TAKE A CUP,İRLANDA,İngiliz,6.0,101.0,9.0,12.0,17.0,13.0,13.0,9.0,12.0,17.0,13.0,13.0,"32.490,00"
AYCEM,TÜRKİYE,İngiliz,5.0,100.0,9.0,11.0,9.0,14.0,10.0,9.0,11.0,9.0,14.0,10.0,"381.965,00"
İSKOÇ GELİN,İNGİLTERE,İngiliz,5.0,97.0,9.0,11.0,7.0,7.0,7.0,9.0,11.0,7.0,7.0,7.0,"287.700,00"
LELLOW,İNGİLTERE,İngiliz,6.0,104.0,9.0,15.0,12.0,11.0,9.0,9.0,14.0,12.0,11.0,9.0,"577.200,00"
MILAGROSE,TÜRKİYE,İngiliz,6.0,95.0,9.0,12.0,13.0,9.0,9.0,9.0,13.0,14.0,9.0,9.0,"1.703.712,00"
MINNEHAHA,FRANSA,İngiliz,4.0,98.0,9.0,10.0,9.0,8.0,7.0,9.0,10.0,9.0,8.0,7.0,"507.460,00"
BUSACO RIDGE,İRLANDA,İngiliz,2.0,105.0,9.0,16.0,9.0,7.0,13.0,9.0,15.0,9.0,7.0,12.0,"470.000,00"
SEA BLUE,İNGİLTERE,İngiliz,3.0,101.0,9.0,12.0,6.0,11.0,7.0,9.0,12.0,6.0,11.0,7.0,"395.300,00"
SERAY,TÜRKİYE,Arap,6.0,104.0,9.0,9.0,9.0,13.0,10.0,9.0,9.0,9.0,12.0,10.0,"413.190,00"
GÖKNAZ,TÜRKİYE,Arap,6.0,96.0,9.0,9.0,6.0,12.0,13.0,9.0,9.0,6.0,12.0,14.0,"449.915,00"
ATANUR,TÜRKİYE,Arap,6.0,103.0,9.0,13.0,8.0,4.0,10.0,9.0,13.0,8.0,4.0,10.0,"479.360,00"
CAULRY RED,İRLANDA,İngiliz,10.0,105.0,9.0,17.0,13.0,13.0,9.0,9.0,16.0,12.0,12.0,9.0,"510.700,00"
NIJINSKA,TÜRKİYE,İngiliz,5.0,96.0,9.0,7.0,12.0,15.0,13.0,9.0,7.0,12.0,16.0,14.0,"485.410,00"
GÜLBEBEĞİM,TÜRKİYE,İngiliz,3.0,101.0,9.0,11.0,12.0,13.0,11.0,9.0,11.0,12.0,13.0,11.0,"456.790,00"
SUDE HANIM,TÜRKİYE,Arap,5.0,99.0,9.0,8.0,7.0,10.0,7.0,9.0,8.0,7.0,10.0,7.0,"348.010,00"
GÜLSÜN,TÜRKİYE,Arap,6.0,100.0,9.0,7.0,12.0,7.0,11.0,9.0,7.0,12.0,7.0,11.0,"420.450,00"
SELUŞ,TÜRKİYE,İngiliz,4.0,97.0,9.0,14.0,15.0,7.0,11.0,9.0,14.0,15.0,7.0,11.0,"597.197,50"
GÜNHAN,TÜRKİYE,Arap,5.0,103.0,9.0,15.0,9.0,11.0,7.0,9.0,15.0,9.0,11.0,7.0,"1.304.926,25"
SELUŞ,TÜRKİYE,Arap,5.0,97.0,9.0,4.0,10.0,7.0,8.0,9.0,4.0,10.0,7.0,8.0,"402.655,00"
HELE,TÜRKİYE,Arap,3.0,97.0,9.0,14.0,7.0,8.0,13.0,9.0,14.0,7.0,8.0,13.0,"476.940,00"
RED SALVIA,İNGİLTERE,İngiliz,5.0,97.0,9.0,12.0,21.0,5.0,4.0,9.0,12.0,22.0,5.0,4.0,"585.430,00"
NAZLINUR,TÜRKİYE,Arap,5.0,101.0,9.0,13.0,7.0,6.0,8.0,9.0,13.0,7.0,6.0,8.0,"1.152.292,50"
ACBE.50,TÜRKİYE,Arap,3.0,105.0,9.0,13.0,10.0,16.0,9.0,9.0,12.0,10.0,15.0,9.0,",00"
HAZALSULTAN,TÜRKİYE,Arap,7.0,103.0,9.0,4.0,8.0,12.0,10.0,9.0,4.0,8.0,12.0,10.0,"773.710,00"
BOUNTY LADY,TÜRKİYE,İngiliz,6.0,95.0,9.0,11.0,6.0,18.0,6.0,9.0,12.0,6.0,19.0,6.0,"1.246.345,00"
NEVİN,TÜRKİYE,İngiliz,7.0,102.0,9.0,11.0,17.0,14.0,9.0,9.0,11.0,17.0,14.0,9.0,",00"
