Jokey,Koşu,1.,2.,3.,4.,5.,1.%,2.%,3.%,4.%,5.%,Jokey Kısaltması
UĞUR POLAT,6882.0,1006.0,981.0,918.0,841.0,676.0,15.0,14.0,13.0,12.0,10.0,U.POLAT
DENİZ YILDIZ,12595.0,996.0,1099.0,1270.0,1321.0,1340.0,8.0,9.0,10.0,10.0,11.0,D.YILDIZ
HALİL KAYA,6519.0,947.0,875.0,912.0,842.0,702.0,15.0,13.0,14.0,13.0,11.0,H.KAYA
DEDE MUTLU,7668.0,930.0,945.0,894.0,940.0,844.0,12.0,12.0,12.0,12.0,11.0,D.MUTLU
ENGİN YALÇIN,7191.0,898.0,911.0,911.0,835.0,778.0,12.0,13.0,13.0,12.0,11.0,E.YALÇIN
İBRAHİM HALİL KETME,11524.0,846.0,1054.0,1101.0,1235.0,1150.0,7.0,9.0,10.0,11.0,10.0,İ.H.KETME
AYGUT ARICI,5979.0,824.0,913.0,954.0,844.0,656.0,14.0,15.0,16.0,14.0,11.0,A.ARICI
RASİM TETİK,6409.0,824.0,804.0,815.0,800.0,674.0,13.0,13.0,13.0,12.0,11.0,R.TETİK
BARIŞ KURDU,7112.0,812.0,774.0,745.0,757.0,733.0,11.0,11.0,10.0,11.0,10.0,B.KURDU
MERTCAN ÇELİK,6582.0,807.0,872.0,786.0,816.0,747.0,12.0,13.0,12.0,12.0,11.0,M.ÇELİK
GÖKHAN YILDIZ,11710.0,791.0,934.0,1022.0,1149.0,1329.0,7.0,8.0,9.0,10.0,11.0,G.YILDIZ
BEKİR GÖKÇE,7210.0,769.0,772.0,814.0,821.0,744.0,11.0,11.0,11.0,11.0,10.0,B.GÖKÇE
SİNAN ÖZEN,8640.0,760.0,898.0,959.0,934.0,960.0,9.0,10.0,11.0,11.0,11.0,S.ÖZEN
MUHAMMED MİR BİLGİN,5433.0,746.0,669.0,640.0,619.0,585.0,14.0,12.0,12.0,11.0,11.0,M.M.BİLGİN
YAŞAR ATÇI,5131.0,742.0,811.0,739.0,714.0,636.0,14.0,16.0,14.0,14.0,12.0,Y.ATÇI
CAFER GÜVEN,5413.0,715.0,773.0,755.0,669.0,519.0,13.0,14.0,14.0,12.0,10.0,C.GÜVEN
İSA AKYAVUZ,5074.0,698.0,628.0,540.0,539.0,500.0,14.0,12.0,11.0,11.0,10.0,İ.AKYAVUZ
ONUR ÖZTÜRK,8712.0,681.0,767.0,794.0,877.0,829.0,8.0,9.0,9.0,10.0,10.0,O.ÖZTÜRK
SAİM HARMANBAŞI,4337.0,660.0,681.0,642.0,565.0,563.0,15.0,16.0,15.0,13.0,13.0,S.HARMANBAŞI
MEHMET SALİH ÇELİK,4201.0,652.0,582.0,574.0,466.0,480.0,16.0,14.0,14.0,11.0,11.0,M.S.ÇELİK
